review_id,sentences_ids,sentences_texts,sentences_opinions
822,2460,"It has come into good use for my finances, scheduling, my parents business expenses, and it is definitely amazing for gaming.",gaming positive <sep> use positive
1791,753,Took several hours with customer support before I could even start the PC out of the box.,customer support negative
485,1336,So what if the laptops/mobile phones look chic and cool? The after sales support is terrible.,after sales support negative <sep> look positive
2045,1564,The display is awesome.,display positive
618,2290,"I love the dock where I can simply drop a file ontop of a particular program, and the program will simply open that file.",dock positive <sep> program neutral <sep> program positive
942,2419,It is easy to go from one keyboard to another.,keyboard neutral
2922,2479,"It is a much more streamlined system for adding programs, using the internet, and doing other things everyone does on a computer.",programs neutral <sep> system positive <sep> using the internet neutral
1518,1909,  They replaced my hard drive as well as my mother board.,hard drive neutral <sep> mother board neutral
2902,1255,I should have checked this before I installed my applications.,applications neutral
2508,2995,The wheel that turns the volume up and down doesn't work in real time.,wheel negative
2943,115,"The battery life, before the battery completely died of course, left much to be desired.",battery life negative <sep> battery negative
2222,566,pros:  the macbook pro notebook has a large battery life and you wont have to worry to charge your laptop every five hours or so.,battery life positive
3027,1284,"Thus, when you carry it at a slanted angle, the screen will ""topple"" or ""slide"" down, if you understand what I mean.",screen negative
408,2496,Mac is not made for gaming.,gaming negative
905,1372,"  We have had numerous problems with Vista, such as Adobe Flash player just quits and has to be uninstalled and then reinsalled, Internet Explore just quits and you lose whatever you were working on, also, the same Windows update has appeared on this computer since we got it and has been updated probably 400 times, the same update.",Vista negative <sep> Adobe Flash player negative <sep> Internet Explore negative <sep> Windows update negative <sep> update negative
1908,1435,"It takes me approximately 3 tries to get to each site, then after closing the browser and reopening it it actually works.",browser neutral
2969,778,"I spoke with a service rep at Micro Center and his girlfriend is having the same problem with her power adapter, so it's not just an isolated incident!!!",service rep neutral <sep> power adapter negative
2269,2970,I did not have to call the support line at all.,support line neutral
261,2385,I've been impressed with the battery life and the performance for such a small amount of memory.,battery life positive <sep> performance positive <sep> memory negative
174,2864,I love WIndows 7 which is a vast improvment over Vista.,WIndows 7 positive <sep> Vista negative
1767,2751,Good monitor and performed well.,monitor positive <sep> performed positive
1539,2516,Great pick for portability and affordability.,portability positive <sep> affordability positive
1690,2211,The graphics on this computer are also stellar - very clear and vivid.,graphics positive
1351,984,This just keeps having it's hard drive replaced!,hard drive negative
598,2706,Features like the font are very block-like and old school.,font negative <sep> Features negative
2585,456,The neat and organized icon list is a welcome change from cluttered and confusing desktop icons.,icon list positive <sep> desktop icons negative
1235,444,Keyboard is great but primary and secondary control buttons could be more durable.,Keyboard positive <sep> control buttons negative
1341,2305,the only down fall is that it has no cd drive but i found that they are very cheap to by and also very portable making this the best friend to someone who is always looking for more space then they have.,cd drive negative
2274,3004,I dual boot with Linux and that other security-prone OS and it performs flawlessly.,Linux neutral <sep> security-prone OS neutral <sep> performs positive
2262,1491,The backlit keys are wonderful when you are working in the dark.,backlit keys positive
1921,769,Asked the customer service rep.,customer service rep neutral
2155,1104,The first programm I switched on was a game for my children.,programm neutral
1541,1597,"I previously purchased a 13"" macbook (had pro specs and was aluminum style) which had a nvidia 9800 (If I am not mistaken) and it had major heating issues.",aluminum style positive <sep> specs positive <sep> nvidia 9800 neutral
1197,1710,"The Macbook is also made better, my computer has never got a virus, and the laptop runs just as fast as the first day I bought it.",runs positive
938,1072,"Newegg's RMA service was great as always, I contacted them late Friday night, and they issued me an RMA number and a PrePaid UPS shipping label the very next morning on Saturday.",RMA service positive
2404,2401,"If you're looking for something to fly through those massive spreadsheets or play a graphics-intensive game, you'd be better off getting a machine aimed at that segment of the market.",game neutral
656,453,"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",programs neutral <sep> Garageband neutral <sep> Photo Booth neutral <sep> iPhoto neutral <sep> iMovie neutral <sep> video-editing neutral <sep> movie-making neutral <sep> photo management neutral <sep> music neutral <sep> Pages neutral <sep> Numbers neutral <sep> Keynote neutral <sep> school or office use neutral
1022,3055,It has a .1 ghz faster processor and a stock 500gb hard drive.,processor positive <sep> 500gb hard drive positive
644,1212,They say sorry out of warranty.,warranty negative
878,214,Keyboard good sized and wasy to use.,Keyboard positive <sep> use positive
864,1385,"Again, the same problem, the right speaker did not work.",right speaker negative
2449,2065,"After purchasing this thing, I find out that I need a special interface device to connect my camera, and that it cannot be purchased at the store - only on line.",interface device negative
2836,1213,Summary: They played games with me for the warranty period.,warranty period negative
461,2858,Like the price and operation.,price positive <sep> operation positive
100,2225,I also enjoy the fact that my MacBook Pro laptop allows me to run Windows 7 on it by using the VMWare program.,Windows 7 positive <sep> VMWare program neutral
1872,2851,My first problem was with the pre-loaded Norton Firewall/Security program.,pre-loaded Norton Firewall/Security program negative
2166,2236,"also you may need to charge it once a day, if for medium use every thing fast and easy with mac  the size and look is the most feature that attracted me to it.",size positive <sep> look positive <sep> feature positive <sep> charge neutral
2108,1768,Iphoto is great for adding pictures right to facebook and other social networking sites.,Iphoto positive
24,2568,I love the way the entire suite of software works together.,suite of software positive
607,2003,Windows is also rather unsteady on its feet and is susceptible to many bugs.,Windows negative
2311,2149,We researched and found the best price at MacConnection.,price positive
2727,259,"They break down just as often as PCs do, and the only reason they don't get viruses, is because no one makes viruses for them, they're not better in any way, they are worse, try finding virus protection programs for a Mac, they don't exist.",virus protection programs for a Mac negative
1088,150,It is very well built.,built positive
933,1423,My problem was with DELL Customer Service.,DELL Customer Service negative
2550,2482,"We love the size of the screen, although it is still lightweight and very easy to tote around.",size of the screen positive <sep> tote positive
569,720,"Upgrading from Windows 7 Starter, thru Windows 7 Home Premium, to Windows 7 Professional was a snap;",Windows 7 Starter neutral <sep> Windows 7 Home Premium neutral <sep> Windows 7 Professional neutral
2003,907,"The people are frustrating to work with, the product itself is very cheaply made, and the accessories are less than satisfactory.",accessories negative
1034,2320,"I bought a Logitech desktop set in anticipation for using with the MBP, but I use the touchpad 90% of the time.",touchpad positive
1718,145,"But after using it a couple of weeks, the overall operation is poor.",operation negative
102,1365,Purchased a Toshiba Lap top it worked good until just after the warrenty went out.,warrenty negative
1764,1694,"Overall, I experienced a huge change in that my mac runs pretty fast compared to my old PC.",runs positive
2891,2573,"I upgraded the memory and replaced the base Windows 7 Starter to Win 7 Home, and it runs just fine.",memory neutral <sep> Windows 7 Starter neutral <sep> Win 7 Home neutral <sep> runs positive
215,2416,I thought the white Mac computers looked dirty too quicly where you use the mousepad and where you place your hands when typing.,mousepad neutral
552,70,It fires up in the morning in less than 30 seconds and I have never had any issues with it freezing.,fires up positive
1352,2117,"When you look at the specs on Apple products in comparison to a Dell or a HP, yes they do seem to offer less for a higher cost.",cost negative
2553,795,so the fact that the computer does not work on the 24 twenty fourth day is my fault.,work negative
2976,1485,"This purchase opened me to the world of Macbooks, and I am impressed with the intuition of the design, the beauty of the product, and the excellent technological advances associated with it.",design positive <sep> beauty positive
2502,676,super fast processor and really nice graphics card..,processor positive <sep> graphics card positive
2818,1142,"  And at one point, they blame me for installing a bad memory stick when I upgrade my memory for the first time during my purchase of the laptop (I bought the memory stick they recomended).",memory neutral <sep> memory stick negative <sep> memory stick neutral
2548,706,"I use the computer to basically check emails, surf the web, print coupons and for my college papers.",surf the web neutral
1257,3024,My real problem with it? The statement of 7 hour battery life is not just mere exaggeration -- it's a lie.,battery life negative
14,338,"My only disappointment with the 13"" model is that they're the only ones in the MacBook Pro line up without an i5 or i7 processor and dual graphics cards, however the trade-off is that you achieve a longer battery life (of about 2 more hours).",processor negative <sep> graphics cards negative <sep> battery life positive
1633,1591,Strong performance in this device makes use of fun and a strong sense of the era of speed This device serves all modern requirements is a very strong game and is very useful for designers.,performance positive <sep> speed positive <sep> use positive
1640,293,Do yourself a favor and invest in a few external harddrives if you are planning on purchasing this laptop.,external harddrives negative
2176,448,Also the display is exceptional!,display positive
2784,2602,"Sure, the initial out of pocket expense is greater, but that should not dissuade anyone from the fact that these machines run like none other on the planet, and when I factor in all the money in that I wasted on Geek Squad and the latest patches to de-corrupt my infested PCs, it probably comes out about even anyhow.",expense negative <sep> run positive
2533,1817,"Great value, fast delivery- Computer works as if brand new, no problems, very pleased",delivery positive <sep> value positive
1689,2966,The only downfall is the battery only last 1.5-2.0 hrs when not plugged in.,battery negative
1071,652,"It was a great laptop, ran great and was really fast.",ran positive
232,3006,lots of preloaded software.,preloaded software positive
630,81,Lightweight and the screen is beautiful!,screen positive
1247,1075,It could be a perfect laptop if it would have faster system memory and its radeon 5850 would have DDR5 instead of DDR3.,system memory negative <sep> radeon 5850 negative <sep> DDR5 positive <sep> DDR3 negative
2294,403,First the screen goes completely out.,screen negative
321,2698,I went to Toshiba online help and found some suggestions to fix it.,Toshiba online help positive
1963,335,"The operating system and user interface is very intuitive, and the large multi-touch track pad is amazing.",operating system positive <sep> user interface positive <sep> multi-touch track pad positive
227,2001,"Yes, they cost more, but they more than make up for it in speed, construction quality, and longevity.",speed positive <sep> construction quality positive <sep> longevity positive
2503,1743,"But sitting on a lap or on a desk in front of you it looks more than big enough (this could be because Im used to my Lenovo 10 tablet now) plus this is a great size if I want to unplug the external keyboard, mouse, and monitor to take it with me when I take photos and video.",size positive <sep> external keyboard neutral <sep> mouse neutral <sep> monitor neutral
2132,577,It gives me the power and speed that I need to run all the programs I use to edit.,power positive <sep> speed positive <sep> programs neutral
495,835,but it  has a major design flaw.,design negative
1103,572,10 hours of battery life is really something else....,battery life positive
99,803,It rarely works and when it does it's incredibly slow.,works negative
1306,1107,I was said it's videocard.,videocard negative
883,2947,wonderful features.,features positive
2685,563,the mcbook pro notebook will make it easy for you to write and read your emails at blazing speeds.,speeds positive
832,1252,Somehow the system clock got messed up after reboot.,system clock negative
240,2941,"I wish it had a webcam though, then it would be perfect!",webcam negative
962,116,"Despite the inconvenient weight, I opted for the 12 cell battery.",12 cell battery positive
192,2004,"If you really want a bang-up system and don't need to run Windows applications, go with an Apple;",system positive <sep> Windows applications neutral
1248,2509,"Not only are the versions of these programs able to be saved, worked on and opened on both a PC and Mac, the versions of these programs on a Mac are graphically and functionally superior.",programs positive <sep> programs positive
682,1315,"It's not a wear-and-tear issue, not due to user carelessness and most importantly, they CAN'T guarantee the problem will be solved if it is sent for service and I have to accept the outcome.",service negative
2100,550,The speakers on it are useless too.,speakers negative
1476,1587,It is in the best condition and has a really high quality.,quality positive
2243,1913,  This process continued to repeat itself until the mother board had been replaced 4 times and the hard drive replaced 3 times.,mother board negative <sep> hard drive negative
1033,2515,Very good quality and well made.,quality positive
855,2787,"Overall the computer is very easy to use, the screen is perfect, great computer, my daughter loves.",screen positive <sep> use positive
821,1824,When you call tech support you were routed to someone who was in another country and did not know what they were doing.,tech support negative
1266,2645,"I don't have stupid pop up windows (even when I have pop ups blocked), I don't have to wait 5 minutes for a webpage to download, and best of all I can run all the web programming software I need to use all at once without slowing me down.",pop up windows positive <sep> web programming software positive <sep> pop ups neutral
2676,2782,"while the keyboard itself is alright, the plate around it is cheap plastic and makes a hollow sound when using the mouse command buttons.",keyboard positive <sep> plate negative <sep> mouse command buttons negative
1114,659,I reinstalled windows through the recovery discs and everything seemed good again.,windows positive <sep> recovery discs positive
1418,888,The mousepad is a huge pain in the arse!,mousepad negative
1298,2213,"I use iphoto all the time, which is a great program for anyone who is into photography - amateurs and experts alike.",iphoto positive <sep> program positive
2099,2917,The notebook is lacking a HDMI port and a S-video port that would enable one to hook it to a TV.,HDMI port negative <sep> S-video port negative
497,1962,"It was heavy,bulky, and hard to carry because of the size.",size negative
646,2845,I bought this laptop because of the performance to price ratio.,performance positive <sep> price positive
374,2333,"Obviously one of the most important features of any computer is the ""human interface.",features neutral <sep> human interface neutral
1384,209,Connecting to my wireless router via built-in wireless took no time at all.,built-in wireless positive
1045,1616,It was super easy to set up and Is really easy to get used to.,set up positive
200,2433,You may need to special order a bag.,bag neutral
2684,1511,There are so many wonderful features and benefits to the new MacBook!,features positive
276,2124,Mostly I love the drag and drop feature.,drag and drop feature positive
852,2133,But you must get the 15 inch.,15 inch positive
1421,1174,") I also purchased  Applecare  for $300, which is a three year extended warranty, since I ve never seen any laptop that lasted more than two.",Applecare neutral <sep> extended warranty neutral
356,138,only good thing is the graphics quality.,graphics quality positive
2191,890,"Your cursor will end up all over the freaking place,,,it's not uncommon for me to accidentally delete words, sentences, paragraphs because of this mousepad.",cursor negative <sep> mousepad negative
2453,2846,"It works great for general internet use, Microsoft Office apps, home bookkeeping, etc.",Microsoft Office apps positive <sep> internet use positive
570,740,This computer had exactly the specifications I needed.,specifications positive
2445,1184,) And printing from either word processor is an adventure.,word processor negative
2338,2273,"WIth the upgraded memory, the MacBook Pro never has an issue running many many applications at once!",upgraded memory positive <sep> applications neutral <sep> running positive
1253,377,Awesome laptop and the perfect size to carry around in college.,size positive
2469,2407,You can even run a parallels type program easily and run any leftover PC software that you absolutely cannot be without.,parallels type program positive <sep> software positive
2004,160,"They offer the best warranty in the business, and don't 3rd party it out like Toshiba.",warranty positive
1007,1413,"Also, because of the size and consistancy of the laptop computer, some websites wouldn't even attempt to work on the computer because of browser problems.",size negative <sep> consistancy negative
2334,1409,"But the quality, in general was less than the worth of the cheap laptop.",quality negative
793,515,"They said that my computer was covered on an extended warranty, and that products with  extended warranties are taken care of through third parties and not Sony itself anymore.",extended warranty neutral <sep> extended warranties neutral
2670,2820,"Fast, great visual!",visual positive
1503,12,For the [$] price (special offer) this is a great laptop.,price positive
2376,1558,"The Macbook starts fast, doesn't crash, has a fantastic display, is small and light (I have the 13.3"" model), and isn't always complaining about updates, lost connections, errors, blue screens, etc.",display positive <sep> starts positive
1781,154,"The video card is great for media, and above average for gaming, but not a gamers first choice.",gaming positive <sep> media positive
3039,848,"How Toshiba handles the repair seems to vary, some folks  indicate that they were charged for even an intial fix, others had the  repair done 5 times.",repair positive
1812,1956,"Actually, I had noticed the one on the sales floor also didn't have sound!",sound negative
2809,327,"Also it is very good for college students who just need a reliable, easy to use computer.",use positive
1001,625,"No temporary replacement, they are out of replacements because ""many computers had problems with the Nvidia chipset""-Inquired status of repair.",Nvidia chipset negative
1851,519,"The battery life sucked the juice from my laptop and when the extended life battery went out we were SOL there to, so much for that warranty covering all the products we purchased.",battery life negative <sep> warranty negative
1335,2768,"The only thing I didn't learn in my research was the software I would need like privacy protection and warranty protection, in case it gets broken, or crashes etc.",software neutral
1255,913," A MONTH LATER, we reinstall the OS (Vista).",OS (Vista) negative
1653,2596,This system came loaded with Windows 7 Starter.,Windows 7 Starter neutral
543,2276,"I connect a LaCie 2Big external drive via the firewire 800 interface, which is useful for Time Machine.",LaCie 2Big external drive neutral <sep> firewire 800 interface positive <sep> Time Machine neutral
1137,2413,"The Mac takes about the same amount of starting-up time as the average PC, but keeps itself cleaned up and ready to use.",starting-up time positive
2783,1496,"All of the programs (Keynote, Pages, Numbers) have an option to save your documents as Microsoft compatible, which really eliminates the need for the actual.",programs positive <sep> Keynote neutral <sep> Pages neutral <sep> Numbers neutral
1548,2948,The only thing is that the battery won't last more than 1/2 an hour.,battery negative
1665,1056,"Before, I reloaded with Windows 7 Ultimate and used only the downloaded drivers from Acer's site.",drivers neutral <sep> Windows 7 Ultimate neutral
277,260,"oh yeah, and if the fancy webcam breaks guess who you have to send it to to get it fixed?",webcam negative
2219,834,"This laptop looks great on the surface: 17"" inch screen, good  price-point, nice appearance, boots up quickly, runs fast etc.","17"" inch screen positive <sep> price-point positive <sep> appearance positive <sep> boots up positive <sep> runs positive"
2091,1406,Many of my classmates computers hard drives crashed.,hard drives negative
2351,2984,"My husband uses it mostly for games, email and music.",games neutral
1708,223,It just works flawlessly!,works positive
534,714,I can't say enough of how satisfied I am with their product and help aftermarket.,product and help aftermarket positive
577,2174,"Not to mention, the battery life is absolutely amazing.",battery life positive
1992,2156,"Of course, for a student, weight is always an issue.",weight neutral
2528,2682,"Not sure how I recommend it for quality gaming, as I have a desktop rig for that reason.",gaming negative
228,2465,"Since I keyboard over 100 wpm, I look for a unit that has a comfortble keyboard (no keys sticking or lagging, strange configuration of ""extra key"", etc.","keyboard positive <sep> keys positive <sep> configuration of ""extra key"" positive"
300,1566,Only thing I would want to add to this is an internal bluray read/write drive.,bluray read/write drive negative
2023,2671,"while about 8 years ago, I hope that the quality has changed.",quality negative
700,240,Skype is just so dang cool with this machine too.,Skype positive
1987,1977,"I saw walmart had the same computer for about $650 but still knowing what I know now,I would not buy it at that price.",price negative
2736,1302,I guess he was the technical person.,technical person neutral
2904,1992,"Anyway, in early July of this year, the DVD burner stopped working, and the computer stared having issues with power supply.",DVD burner negative <sep> power supply negative
573,2564,My kids (and dogs) destroyed two power cords by pulling on them.,power cords neutral
2761,1087,"EITHER WAY, THE KEYBOARD IS UNSATISFACTORY.",KEYBOARD negative
719,1532,My sister has the same Mac as me and she is in a band and uses GarageBand to record and edit.,GarageBand neutral
1702,1082,Sony parts reliability and quality of service is recenlty the worst.,service negative
1942,1459,  i have tried to charge on different batteries with no luck.,batteries negative
750,1373,"I noticed windows has a new system called Windows 7, what about us Vista users?  They should get all the bugs out of Vista before investing in a new system.",Windows 7 neutral <sep> Vista neutral <sep> Vista negative <sep> windows neutral
856,948,  The casing of the power cord fried and shocked my husband when he pulled it out of the socket.,casing of the power cord negative
3000,29,"I had to adjust my mousepad sensitivity, because it is very sensitive.",mousepad sensitivity negative
1773,267,The machine has a bluray player the book has no mention of it or how to connect it to your HDTV.,bluray player neutral <sep> book negative
511,1529,A mac is very easy to use and it simply makes sense.,use positive
1507,61,What I'd like is for the laptop to run well without having to purchase additional memory.,memory negative <sep> run neutral
1363,1885,"If internet connectivity is important I would recommend going with a dell net book for 50 bucks more, or buy a USB wireless card.",internet connectivity neutral <sep> USB wireless card neutral
454,2943,Its fast and another thing I like is that it has three USB ports.,USB ports positive
2128,2761,It's even easy to hook up to other wireless networks.,hook up to other wireless networks positive
1292,2655,Great product by Apple with the new great looking design.,design positive
841,285,It doesnt work worth a damn.,work negative
1634,1067,Unless you need the Bluetooth 3.,Bluetooth 3 neutral
997,1986,I had to re-install Windows within two weeks of the purchase and soon discovered cracks in the screen hinges.,Windows negative <sep> screen hinges negative
2482,542,power supply went bad after 2 weeks --,power supply negative
1262,940,"  I definitely suggest getting an extended warranty, you will probably need it!",extended warranty positive
1334,1531,"The programs are great, like iphoto (love the editing capabilities), imail (which can incorporate with the address book on the ipod and ipad), imovie, etc.",programs positive <sep> iphoto positive <sep> imail positive <sep> imovie positive
428,1844,"  upon giving them the serial number the first thing I was told, was that it was out of warranty and I could pay to have it repaired.",warranty neutral
2748,927,"So then you may be lucky to get ahold to someone who understands that its no good and they will let you send it back, but of course you are taking a chance of them testing it out to see what has happened, and they tell you that it was not on their side , then you are stuck paying for the repair (the price of a new one).",price negative
1903,486,"That included the extra Sony Sonic Stage software, the speakers and the subwoofer I got (that WAS worth the money), the bluetooth mouse for my supposedly bluetooth enabled computer, the extended life battery and the Docking port.",Sony Sonic Stage software neutral <sep> speakers positive <sep> subwoofer positive <sep> extended life battery neutral <sep> Docking port neutral <sep> bluetooth mouse neutral <sep> bluetooth enabled negative
193,2296,You won't have to spend gobs of money on some inefficient virus program that needs to be updated every month and that constantly drains your wallet.,virus program negative
2320,1744,Supplied software: The software that comes with this machine is greatly welcomed compared to what Windows comes with.,Supplied software neutral <sep> software positive <sep> Windows negative
2650,701,The battery life also doesn't keep up with the claim but still I think macbook is much ahead from the rest of the pack.,battery life negative
411,490,But Sony said we could send it back and be charged for adding the bluetooth an additional seventy something dollars.,adding the bluetooth negative
2094,1775,"The 13"" Macbook Pro just fits in my budget and with free shipping and no tax to CA this is the best price we can get for a great product.",shipping positive <sep> price positive <sep> budget positive
97,1524,"If a website ever freezes (which is rare), its really easy to force quit.",force quit positive
1475,1545,"I use this for my tutoring business, and since I'm always bouncing from student to student, it is ideal for portability and battery life (yes, it gets the 8 hours as advertised!).",portability positive <sep> battery life positive
2186,1819,"It didn't come with any software installed outside of windows media, but for the price, I was very pleased with the condition and the overall product.",software negative <sep> windows media neutral <sep> price positive
2468,1794,"I love the solid machined aluminum frame, and the keyboard is the best of any laptop I've used.",machined aluminum frame positive <sep> keyboard positive
890,1085,"WHEN TYPING, LETTERS AND SPACES ARE FREQUENTLY OMITTED REQUIRING THE USER TO REDO MANY WORDS AND SENTENCES.",TYPING negative
1655,171,The battery gets so HOT it is scary.,battery negative
1885,14,"Not too much ""junk"" software to remove.",software positive
549,744,The Aspire wont even boot past the Acer screen with a Droid (I have tried both Motorola and HTC) plugged into the USB port.,Acer screen negative <sep> USB port negative <sep> boot negative
898,1842,  The lcd screen stopped working on mine after 10 months.,lcd screen negative
508,2669,Sometimes you really have to tap the pad to get it to worki,pad negative
837,1037,"The driver updates don't fix the issue, very frustrating.",driver updates negative
1510,2463,It works exactly like it did the day I took it out of the box.,works positive
1213,2637,Delivery was early too.,Delivery positive
52,3073,The best thing about this laptop is the price along with some of the newer features.,price positive <sep> features positive
1344,2709,Keys stick periodically and I havent had the laptop for 45 days yet.,Keys negative
343,4,I bought a protector for my key pad and it works great :),protector neutral <sep> key pad positive
1901,881,"After 2 months of complaints, Asus finally sent the right power supply to my techies.",power supply neutral <sep> techies neutral
2941,1948,You can't even get a satellite card which is why I bought to begin with.,satellite card negative
2267,3031,I know what 7 hrs of battery looks like.,battery positive
253,3020,"It is everything I'd hoped it would be from a look and feel standpoint, but somehow a bit more sturdy.",look and feel standpoint positive
378,2138,"With a mac you don't have to worry about antivirus software or firewall, it's so wonderful.",antivirus software neutral <sep> firewall neutral
1230,2592,I wasn't a big fan of the Netbooks but this one was very well designed.,designed positive
1329,2250,iPhotos is an excellent program for storing and organizing photos.,iPhotos positive <sep> program positive
1411,219,The macbooks are small enough to be very portable yet hold tons of information and performance.,performance positive
27,2759,This laptop meets every expectation and Windows 7 is great!,Windows 7 positive
2693,2314,"Applications open in seconds and there are no lags, hiccups or awkward moments when you wonder whether your computer is out for tea.",Applications positive
2460,1902,  The screen almost looked like a barcode when it froze.,screen negative
1142,2448,The pictures are clear as can be.,pictures positive
2852,543,after much effort and 10 days ASUS replaced itThe WiFi is very weak.,WiFi negative
2798,1392,sometimes you will be moving your finger and the pointer will not even move.,pointer negative
2019,2904,"I also love the small, convenient size of my laptop, making it a perfect tool for my academic studies.",size positive
161,1488,"There is no need to purchase virus protection for Mac, which saves me a lot of time and money.",virus protection for Mac positive
2227,2684,Good price.,price positive
393,1256,Wasted me at least 8 hours of installation time.,installation time negative
290,1742,"Size: I know 13 is small (especially for a desktop replacement) but with an external monitor, who cares.",Size negative <sep> external monitor neutral
2485,44,I regret buying it before understanding how awful it is to use.,use negative
2208,2090,"Great product, very easy to use and great graphics.",graphics positive <sep> use positive
551,1963,The battery life was shorter than expected.,battery life negative
540,1973,Microsoft word was not on it andI had to buy it seperately.,Microsoft word negative
1202,1698,MY ONLY PROBLEM IS I CAN NOT REG. THE PRODUCT KEY.,PRODUCT KEY negative
368,505,"They sent out the box right away for me to send in my computer, they paid postage and whatnot, but when I got my computer back it still wasn't running right, and now my CD drive wasn't reading anything!",CD drive negative <sep> running negative
2853,925,You can call HP and they want you to buy more software to fix it.,software neutral
1696,2220,"The computer loads in about a 1/10th of the time that my PC did, and I have all of the programs that were on my PC.",programs positive <sep> loads positive
1245,2490,2nd Best computer in the world  only one way this computer might become the best is that it needs to upgreade patches  to make less easier for people to hack into,patches negative
2422,1676,Another Great thing is the Beast graphics.,Beast graphics positive
1492,2940,Runs smooth and quick.,Runs positive
391,2811,"Fan vents to the side, so no cooling pad needed, great feature!",Fan positive <sep> cooling pad neutral <sep> feature positive
918,2871,I always have used a tower home PC and jumped to the laptop and have been very satisfied with its performance.,performance positive
1107,15,Runs fast and the regular layout keyboard is so much better.,regular layout keyboard positive <sep> Runs positive
396,1424,My wireless system would not recognize Windows 7 and I couldn't get online to find out why.,wireless system negative <sep> Windows 7 neutral
2041,831,  The only thing I can imagine is that Sony jumped on early specifications for Vista requirements from Microsoft and designed it to those inadequate requirements.,Vista negative
1922,3046,"So, I took it back to the apple store and they narcissist genius bar staff) fixed it by resetting the fan at boot up.",genius bar staff) negative <sep> fan neutral <sep> boot up neutral
1595,2806,"the hinge design forced you to place various connections all around the computer, left right and front.",hinge design negative
2560,503,"I have never really been big on downloading anything so I wasn't too worried about getting a virus, plus I thought I was protected by Norton.",Norton negative
