review_id,sentences_ids,sentences_texts,sentences_opinions,opinions_pos,sentences_texts_org,sentences_opinions_org
953,2261,"Las aplicaciones de Apple (por ejemplo, iPhoto) son divertidas, fáciles y realmente geniales de usar (a diferencia de la competencia).",Aplicaciones de Apple positive <sep> iPhoto positive,4-25 <sep> 40-46,"The Apple applications (ex.iPhoto) are fun, easy, and really cool to use (unlike the competition)!",Apple applications positive <sep> iPhoto positive
661,2077,La pantalla muestra grandes colores.,pantalla positive <sep> colores positive,3-11 <sep> 28-35,The screen shows great colors.,screen positive <sep> colors positive
2146,290,"Sé que hay computadoras portátiles mucho mejores por el mismo precio, y por qué gastar dinero en mierda cuando puedes salir y comprarte una computadora portátil perfectamente decente que no sea una mierda.",precio neutral,62-68,"I know there are way better laptops out there for the same price, and why spend money on shit when you can go out and get yourself a perfectly decent laptop that doesnt suck total monkey balls.",price neutral
1943,2188,"Recomendaría esta computadora a cualquiera que busque la computadora portátil perfecta, y la duración de la batería es increíble.",duración de la batería positive,93-115,"I would recommend this computer to anyone searching for the perfect laptop, and the battery life is amazing.",battery life positive
2952,153,"La pantalla es enorme y colorida, pero no tiene retroiluminación LED.",pantalla positive,3-11,"The screen is huge and coloful, but no LED backlighting.",screen positive
2927,2431,Esta es una computadora portátil de gran tamaño de 18 pulgadas.,18 pulgadas negative,51-62,"This is an over-sized, 18-inch laptop.",18-inch negative
1225,1706,Mi principal razón para convertirme fue el programa imovie.,programa imovie positive,43-58,My main reason to convert was the imovie program.,imovie program positive
1121,1493,"""> iPhoto es probablemente el mejor programa con el que he trabajado: fácil y conveniente.",iPhoto positive,3-9,""">  iPhoto is probably the best program I have ever worked with: easy and convenient.",iPhoto positive
647,756,La PC nunca funcionó bien incluso después de que se corrigió la BIOS.,BIOS negative,64-68,PC never worked right even after BIOS fixed.,BIOS negative
2999,2898,El Toshiba Satellite ha sido más de lo que esperaba por el precio.,precio positive,59-65,The Toshiba Satellite has been more than I expected for the price.,price positive
2586,1892,Compré esta netbook después de que mi computadora portátil Toshiba original fallara justo después de que expirara la garantía.,garantía negative,117-125,I purchased this netbook after my original Toshiba laptop crashed right after the warranty expired.,warranty negative
1521,2512,No hay nada de qué quejarse del sistema.,sistema positive,32-39,There is nothing to complain about the system.,system positive
1705,2588,"Es compatible con Office, pero las características y su funcionamiento son completamente nuevos nuevamente, por lo que también puede ahorrar dinero y simplemente aprender los programas mac preinstalados.",características neutral <sep> programas neutral,35-50 <sep> 175-184,"Its Office compatible, but the features and its functioning is all new again so you might as well save the money and just learn the pre installed mac programs.",features neutral <sep> functioning neutral <sep> programs neutral <sep> Office positive
2871,1018,"En el pasado, tenía una computadora portátil Dell y me enviaron los artículos que necesitaba o enviaron a un técnico de reparación a mi casa para que la arreglara.",técnico de reparación positive,109-130,I had in the past a Dell laptop and they sent me the items it needed or they sent a repair technician to my house to fix it.,repair technician positive
247,2938,Desearía que el volumen pudiera ser más alto y que el mouse no se rompiera después de solo un mes.,volumen negative,16-23,I wish the volume could be louder and the mouse didnt break after only a month.,volume negative <sep> mouse negative
1846,2653,"El pro es un gran producto, desearía que los modelos de 13 pulgadas vinieran con los procesadores Intel i y tuvieran un borde más cómodo (los bordes me lastiman las muñecas).",Procesadores Intel i negative <sep> borde negative <sep> bordes negative,85-105 <sep> 120-125 <sep> 142-148,"The pro is a great product, I wish that the 13 inch models came with the Intel i processors and had a more comfortable edge (the edges hurt my wrists).",Intel i processors negative <sep> edge negative <sep> edges negative
84,2492,¡Calidad asombrosa!,Calidad positive,1-8,Amazing Quality!,Quality positive
1791,753,Me tomó varias horas con el servicio de atención al cliente antes de que pudiera siquiera iniciar la PC de fábrica.,Atención al cliente negative,40-59,Took several hours with customer support before I could even start the PC out of the box.,customer support negative
618,2290,"Me encanta el dock donde simplemente puedo colocar un archivo encima de un programa en particular, y el programa simplemente abrirá ese archivo.",programa neutral <sep> programa positive,75-83 <sep> 75-83,"I love the dock where I can simply drop a file ontop of a particular program, and the program will simply open that file.",dock positive <sep> program neutral <sep> program positive
942,2419,Es fácil pasar de un teclado a otro.,teclado neutral,21-28,It is easy to go from one keyboard to another.,keyboard neutral
2922,2479,"Es un sistema mucho más optimizado para agregar programas, usar Internet y hacer otras cosas que todos hacen en una computadora.",programas neutral <sep> sistema positive,48-57 <sep> 6-13,"It is a much more streamlined system for adding programs, using the internet, and doing other things everyone does on a computer.",programs neutral <sep> system positive <sep> using the internet neutral
1518,1909,Reemplazaron mi disco duro y mi placa madre.,disco duro neutral,16-26,  They replaced my hard drive as well as my mother board.,hard drive neutral <sep> mother board neutral
2902,1255,Debería haber comprobado esto antes de instalar mis aplicaciones.,aplicaciones neutral,52-64,I should have checked this before I installed my applications.,applications neutral
2508,2995,La rueda que sube y baja el volumen no funciona en tiempo real.,rueda negative,3-8,The wheel that turns the volume up and down doesn't work in real time.,wheel negative
2943,115,"La duración de la batería, antes de que se agotara por completo, por supuesto, dejaba mucho que desear.",duración de la batería negative <sep> batería negative,3-25 <sep> 18-25,"The battery life, before the battery completely died of course, left much to be desired.",battery life negative <sep> battery negative
3027,1284,"Por lo tanto, cuando lo lleva en un ángulo inclinado, la pantalla se ""volcará"" o ""se deslizará"" hacia abajo, si entiende lo que quiero decir.",pantalla negative,57-65,"Thus, when you carry it at a slanted angle, the screen will ""topple"" or ""slide"" down, if you understand what I mean.",screen negative
905,1372,"Hemos tenido numerosos problemas con Vista, como Adobe Flash Player simplemente se cierra y tiene que ser desinstalado y luego vuelto a instalar, Internet Explore simplemente se cierra y pierde lo que sea en lo que estaba trabajando, además, la misma actualización de Windows ha aparecido en esta computadora desde que ",Vista negative <sep> Adobe Flash Player negative,37-42 <sep> 49-67,"  We have had numerous problems with Vista, such as Adobe Flash player just quits and has to be uninstalled and then reinsalled, Internet Explore just quits and you lose whatever you were working on, also, the same Windows update has appeared on this computer since we got it and has been updated probably 400 times, the same update.",Vista negative <sep> Adobe Flash player negative <sep> Internet Explore negative <sep> Windows update negative <sep> update negative
1908,1435,"Me toma aproximadamente 3 intentos para llegar a cada sitio, luego de cerrar el navegador y volver a abrirlo, realmente funciona.",navegador neutral,80-89,"It takes me approximately 3 tries to get to each site, then after closing the browser and reopening it it actually works.",browser neutral
2969,778,"Hablé con un representante de servicio en Micro Center y su novia está teniendo el mismo problema con su adaptador de corriente, ¡así que no es solo un incidente aislado!",representante de servicio neutral <sep> adaptador de corriente negative,13-38 <sep> 105-127,"I spoke with a service rep at Micro Center and his girlfriend is having the same problem with her power adapter, so it's not just an isolated incident!!!",service rep neutral <sep> power adapter negative
261,2385,Me ha impresionado la duración de la batería y el rendimiento para una cantidad tan pequeña de memoria.,duración de la batería positive <sep> rendimiento positive <sep> memoria negative,22-44 <sep> 50-61 <sep> 95-102,I've been impressed with the battery life and the performance for such a small amount of memory.,battery life positive <sep> performance positive <sep> memory negative
174,2864,"Me encanta Windows 7, que es una gran mejora con respecto a Vista.",Vista negative,60-65,I love WIndows 7 which is a vast improvment over Vista.,WIndows 7 positive <sep> Vista negative
1539,2516,Gran elección para portabilidad y asequibilidad.,portabilidad positive <sep> asequibilidad positive,19-31 <sep> 34-47,Great pick for portability and affordability.,portability positive <sep> affordability positive
1690,2211,"Los gráficos de esta computadora también son estelares, muy claros y vívidos.",gráficos positive,4-12,The graphics on this computer are also stellar - very clear and vivid.,graphics positive
1351,984,¡Esto sigue teniendo su disco duro reemplazado!,disco duro negative,24-34,This just keeps having it's hard drive replaced!,hard drive negative
598,2706,Las características como la fuente son muy parecidas a un bloque y de la vieja escuela.,fuente negative <sep> Características negative,28-34 <sep> 4-19,Features like the font are very block-like and old school.,font negative <sep> Features negative
2585,456,La lista de iconos ordenada y organizada es un cambio bienvenido de los iconos de escritorio desordenados y confusos.,lista de iconos positive <sep> iconos de escritorio negative,3-18 <sep> 72-92,The neat and organized icon list is a welcome change from cluttered and confusing desktop icons.,icon list positive <sep> desktop icons negative
1235,444,"El teclado es excelente, pero los botones de control primario y secundario podrían ser más duraderos.",Teclado positive <sep> botones de control negative,3-10 <sep> 34-52,Keyboard is great but primary and secondary control buttons could be more durable.,Keyboard positive <sep> control buttons negative
1341,2305,"el único inconveniente es que no tiene unidad de CD, pero descubrí que son muy baratos y también muy portátiles, lo que lo convierte en el mejor amigo para alguien que siempre está buscando más espacio del que tiene.",unidad de CD negative,39-51,the only down fall is that it has no cd drive but i found that they are very cheap to by and also very portable making this the best friend to someone who is always looking for more space then they have.,cd drive negative
2274,3004,Realizo un arranque dual con Linux y ese otro sistema operativo propenso a la seguridad y funciona a la perfección.,Linux neutral,29-34,I dual boot with Linux and that other security-prone OS and it performs flawlessly.,Linux neutral <sep> security-prone OS neutral <sep> performs positive
2262,1491,Las teclas retroiluminadas son maravillosas cuando se trabaja en la oscuridad.,teclas retroiluminadas positive,4-26,The backlit keys are wonderful when you are working in the dark.,backlit keys positive
1921,769,Preguntó el representante de servicio al cliente.,representante de servicio al cliente neutral,12-48,Asked the customer service rep.,customer service rep neutral
2155,1104,El primer programa que encendí fue un juego para mis hijos.,programa neutral,10-18,The first programm I switched on was a game for my children.,programm neutral
1541,1597,"Anteriormente compré una macbook de 13 ""(tenía especificaciones profesionales y era de estilo de aluminio) que tenía una nvidia 9800 (si no me equivoco) y tenía problemas importantes de calefacción.",estilo de aluminio positive <sep> especificaciones positive <sep> nvidia 9800 neutral,87-105 <sep> 47-63 <sep> 121-132,"I previously purchased a 13"" macbook (had pro specs and was aluminum style) which had a nvidia 9800 (If I am not mistaken) and it had major heating issues.",aluminum style positive <sep> specs positive <sep> nvidia 9800 neutral
938,1072,"El servicio RMA de Newegg fue excelente como siempre, me comuniqué con ellos a última hora de la noche del viernes y me emitieron un número de RMA y una etiqueta de envío de UPS prepago a la mañana siguiente del sábado.",Servicio RMA positive,3-15,"Newegg's RMA service was great as always, I contacted them late Friday night, and they issued me an RMA number and a PrePaid UPS shipping label the very next morning on Saturday.",RMA service positive
2404,2401,"Si está buscando algo para volar a través de esas hojas de cálculo masivas o jugar un juego con muchos gráficos, sería mejor que comprara una máquina dirigida a ese segmento del mercado.",juego neutral,86-91,"If you're looking for something to fly through those massive spreadsheets or play a graphics-intensive game, you'd be better off getting a machine aimed at that segment of the market.",game neutral
656,453,"Hay varios programas para uso escolar o de oficina (Pages, Numbers, Keynote, etc.), música (Garageband), gestión de fotografías (Photo Booth, iPhoto), edición de vídeo o realización de películas (iMovie), etc.",programas neutral <sep> iPhoto neutral <sep> iMovie neutral <sep> música neutral,11-20 <sep> 142-148 <sep> 196-202 <sep> 84-90,"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",programs neutral <sep> Garageband neutral <sep> Photo Booth neutral <sep> iPhoto neutral <sep> iMovie neutral <sep> video-editing neutral <sep> movie-making neutral <sep> photo management neutral <sep> music neutral <sep> Pages neutral <sep> Numbers neutral <sep> Keynote neutral <sep> school or office use neutral
1022,3055,Tiene un procesador .1 ghz más rápido y un disco duro de 500 gb.,procesador positive <sep> Disco duro de 500 gb positive,9-19 <sep> 43-63,It has a .1 ghz faster processor and a stock 500gb hard drive.,processor positive <sep> 500gb hard drive positive
644,1212,Dicen perdón fuera de garantía.,garantía negative,22-30,They say sorry out of warranty.,warranty negative
878,214,Teclado de buen tamaño y fácil de usar.,Teclado positive <sep> usar positive,0-7 <sep> 34-38,Keyboard good sized and wasy to use.,Keyboard positive <sep> use positive
864,1385,"Una vez más, el mismo problema, el altavoz derecho no funcionó.",altavoz derecho negative,35-50,"Again, the same problem, the right speaker did not work.",right speaker negative
2449,2065,"Después de comprar esto, descubrí que necesito un dispositivo de interfaz especial para conectar mi cámara y que no se puede comprar en la tienda, solo en línea.",dispositivo de interfaz negative,50-73,"After purchasing this thing, I find out that I need a special interface device to connect my camera, and that it cannot be purchased at the store - only on line.",interface device negative
2836,1213,Resumen: Jugaron juegos conmigo durante el período de garantía.,período de garantía negative,43-62,Summary: They played games with me for the warranty period.,warranty period negative
461,2858,Como el precio y el funcionamiento.,precio positive,8-14,Like the price and operation.,price positive <sep> operation positive
100,2225,También disfruto del hecho de que mi computadora portátil MacBook Pro me permite ejecutar Windows 7 mediante el programa VMWare.,Windows 7 positive <sep> Programa VMWare neutral,90-99 <sep> 112-127,I also enjoy the fact that my MacBook Pro laptop allows me to run Windows 7 on it by using the VMWare program.,Windows 7 positive <sep> VMWare program neutral
1872,2851,Mi primer problema fue con el programa Norton Firewall / Security precargado.,programa Norton Firewall / Security precargado negative,30-76,My first problem was with the pre-loaded Norton Firewall/Security program.,pre-loaded Norton Firewall/Security program negative
2166,2236,"También es posible que deba cargarlo una vez al día, si para uso medio todo es rápido y fácil con mac, el tamaño y el aspecto son las características que más me atraen.",característica positive <sep> cargar neutral,134-148 <sep> 28-34,"also you may need to charge it once a day, if for medium use every thing fast and easy with mac  the size and look is the most feature that attracted me to it.",size positive <sep> look positive <sep> feature positive <sep> charge neutral
2108,1768,Iphoto es ideal para agregar imágenes directamente a Facebook y otros sitios de redes sociales.,Iphoto positive,0-6,Iphoto is great for adding pictures right to facebook and other social networking sites.,Iphoto positive
2311,2149,Investigamos y encontramos el mejor precio en MacConnection.,precio positive,36-42,We researched and found the best price at MacConnection.,price positive
1088,150,Está muy bien construido.,construido positive,14-24,It is very well built.,built positive
2550,2482,"Nos encanta el tamaño de la pantalla, aunque sigue siendo ligera y muy fácil de llevar.",tamaño de la pantalla positive,15-36,"We love the size of the screen, although it is still lightweight and very easy to tote around.",size of the screen positive <sep> tote positive
569,720,"La actualización de Windows 7 Starter, a través de Windows 7 Home Premium, a Windows 7 Professional fue muy sencilla;",Windows 7 Home Premium neutral,51-73,"Upgrading from Windows 7 Starter, thru Windows 7 Home Premium, to Windows 7 Professional was a snap;",Windows 7 Starter neutral <sep> Windows 7 Home Premium neutral <sep> Windows 7 Professional neutral
2003,907,"Es frustrante trabajar con la gente, el producto en sí es muy económico y los accesorios son menos que satisfactorios.",accesorios negative,78-88,"The people are frustrating to work with, the product itself is very cheaply made, and the accessories are less than satisfactory.",accessories negative
102,1365,Compré una computadora portátil Toshiba que funcionó bien hasta que salió la garantía.,garantía negative,77-85,Purchased a Toshiba Lap top it worked good until just after the warrenty went out.,warrenty negative
2891,2573,"Actualicé la memoria y reemplacé la base de Windows 7 Starter a Win 7 Home, y funciona bien.",memoria neutral,13-20,"I upgraded the memory and replaced the base Windows 7 Starter to Win 7 Home, and it runs just fine.",memory neutral <sep> Windows 7 Starter neutral <sep> Win 7 Home neutral <sep> runs positive
552,70,Se enciende por la mañana en menos de 30 segundos y nunca he tenido ningún problema con la congelación.,enciende positive,3-11,It fires up in the morning in less than 30 seconds and I have never had any issues with it freezing.,fires up positive
1352,2117,"Cuando observa las especificaciones de los productos Apple en comparación con Dell o HP, sí parecen ofrecer menos por un costo más alto.",costo negative,121-126,"When you look at the specs on Apple products in comparison to a Dell or a HP, yes they do seem to offer less for a higher cost.",cost negative
2976,1485,"Esta compra me abrió al mundo de los Macbooks y estoy impresionado con la intuición del diseño, la belleza del producto y los excelentes avances tecnológicos asociados con él.",diseño positive <sep> belleza positive,88-94 <sep> 99-106,"This purchase opened me to the world of Macbooks, and I am impressed with the intuition of the design, the beauty of the product, and the excellent technological advances associated with it.",design positive <sep> beauty positive
2502,676,Procesador súper rápido y tarjeta gráfica realmente agradable.,procesador positive,0-10,super fast processor and really nice graphics card..,processor positive <sep> graphics card positive
2818,1142,"Y en un momento, me culpan por instalar una tarjeta de memoria defectuosa cuando actualizo mi memoria por primera vez durante la compra de la computadora portátil (compré la tarjeta de memoria que recomendaron).",memoria neutral <sep> tarjeta de memoria negative <sep> tarjeta de memoria neutral,55-62 <sep> 44-62 <sep> 44-62,"  And at one point, they blame me for installing a bad memory stick when I upgrade my memory for the first time during my purchase of the laptop (I bought the memory stick they recomended).",memory neutral <sep> memory stick negative <sep> memory stick neutral
2548,706,"Utilizo la computadora básicamente para revisar correos electrónicos, navegar por la web, imprimir cupones y para mis trabajos universitarios.",navegar por la web neutral,70-88,"I use the computer to basically check emails, surf the web, print coupons and for my college papers.",surf the web neutral
14,338,"Mi única decepción con el modelo de 13 ""es que son los únicos en la línea de MacBook Pro sin un procesador i5 o i7 y tarjetas gráficas duales, sin embargo, la compensación es que logra una mayor duración de la batería (de aproximadamente 2 ",procesador negative <sep> tarjetas gráficas negative <sep> duración de la batería positive,96-106 <sep> 117-134 <sep> 195-217,"My only disappointment with the 13"" model is that they're the only ones in the MacBook Pro line up without an i5 or i7 processor and dual graphics cards, however the trade-off is that you achieve a longer battery life (of about 2 more hours).",processor negative <sep> graphics cards negative <sep> battery life positive
1633,1591,"El buen rendimiento de este dispositivo hace uso de la diversión y un fuerte sentido de la era de la velocidad. Este dispositivo cumple con todos los requisitos modernos, es un juego muy sólido y es muy útil para los diseñadores.",rendimiento positive <sep> velocidad positive,8-19 <sep> 101-110,Strong performance in this device makes use of fun and a strong sense of the era of speed This device serves all modern requirements is a very strong game and is very useful for designers.,performance positive <sep> speed positive <sep> use positive
1640,293,Hágase un favor e invierta en algunos discos duros externos si planea comprar esta computadora portátil.,discos duros externos negative,38-59,Do yourself a favor and invest in a few external harddrives if you are planning on purchasing this laptop.,external harddrives negative
2533,1817,"Gran valor, entrega rápida: la computadora funciona como si fuera nueva, sin problemas, muy satisfecha",entrega positive <sep> valor positive,12-19 <sep> 5-10,"Great value, fast delivery- Computer works as if brand new, no problems, very pleased",delivery positive <sep> value positive
1689,2966,"El único inconveniente es que la batería solo dura entre 1,5 y 2,0 horas cuando no está enchufada.",batería negative,33-40,The only downfall is the battery only last 1.5-2.0 hrs when not plugged in.,battery negative
232,3006,mucho software precargado.,software precargado positive,6-25,lots of preloaded software.,preloaded software positive
630,81,¡Ligero y la pantalla es hermosa!,pantalla positive,13-21,Lightweight and the screen is beautiful!,screen positive
1247,1075,Podría ser una computadora portátil perfecta si tuviera una memoria de sistema más rápida y su radeon 5850 tuviera DDR5 en lugar de DDR3.,radeon 5850 negative <sep> DDR5 positive <sep> DDR3 negative,95-106 <sep> 115-119 <sep> 132-136,It could be a perfect laptop if it would have faster system memory and its radeon 5850 would have DDR5 instead of DDR3.,system memory negative <sep> radeon 5850 negative <sep> DDR5 positive <sep> DDR3 negative
2294,403,"Primero, la pantalla se apaga por completo.",pantalla negative,12-20,First the screen goes completely out.,screen negative
321,2698,Fui a la ayuda en línea de Toshiba y encontré algunas sugerencias para solucionarlo.,Ayuda en línea de Toshiba positive,9-34,I went to Toshiba online help and found some suggestions to fix it.,Toshiba online help positive
1963,335,El sistema operativo y la interfaz de usuario son muy intuitivos y el gran trackpad multitáctil es asombroso.,sistema operativo positive <sep> interfaz de usuario positive,3-20 <sep> 26-45,"The operating system and user interface is very intuitive, and the large multi-touch track pad is amazing.",operating system positive <sep> user interface positive <sep> multi-touch track pad positive
227,2001,"Sí, cuestan más, pero lo compensan con creces en velocidad, calidad de construcción y longevidad.",velocidad positive <sep> calidad de construcción positive <sep> longevidad positive,49-58 <sep> 60-83 <sep> 86-96,"Yes, they cost more, but they more than make up for it in speed, construction quality, and longevity.",speed positive <sep> construction quality positive <sep> longevity positive
2503,1743,"Pero sentado en un regazo o en un escritorio frente a usted, parece más que lo suficientemente grande (esto podría deberse a que ahora estoy acostumbrado a mi tableta Lenovo 10), además, este es un gran tamaño si quiero desconectar el teclado externo, el mouse, ",teclado externo neutral,235-250,"But sitting on a lap or on a desk in front of you it looks more than big enough (this could be because Im used to my Lenovo 10 tablet now) plus this is a great size if I want to unplug the external keyboard, mouse, and monitor to take it with me when I take photos and video.",size positive <sep> external keyboard neutral <sep> mouse neutral <sep> monitor neutral
2132,577,Me da la potencia y la velocidad que necesito para ejecutar todos los programas que uso para editar.,velocidad positive <sep> programas neutral,23-32 <sep> 70-79,It gives me the power and speed that I need to run all the programs I use to edit.,power positive <sep> speed positive <sep> programs neutral
495,835,pero tiene un defecto de diseño importante.,diseño negative,25-31,but it  has a major design flaw.,design negative
1103,572,10 horas de duración de la batería es realmente otra cosa ...,duración de la batería positive,12-34,10 hours of battery life is really something else....,battery life positive
1306,1107,Me dijeron que es una tarjeta de video.,tarjeta de video negative,22-38,I was said it's videocard.,videocard negative
883,2947,maravillosas características.,características positive,13-28,wonderful features.,features positive
2685,563,la computadora portátil mcbook pro le facilitará la escritura y la lectura de sus correos electrónicos a velocidades vertiginosas.,velocidades positive,105-116,the mcbook pro notebook will make it easy for you to write and read your emails at blazing speeds.,speeds positive
832,1252,"De alguna manera, el reloj del sistema se estropeó después de reiniciar.",reloj del sistema negative,21-38,Somehow the system clock got messed up after reboot.,system clock negative
240,2941,"Sin embargo, desearía que tuviera una cámara web, ¡entonces sería perfecto!",cámara web negative,38-48,"I wish it had a webcam though, then it would be perfect!",webcam negative
962,116,"A pesar del peso inconveniente, opté por la batería de 12 celdas.",Batería de 12 celdas positive,44-64,"Despite the inconvenient weight, I opted for the 12 cell battery.",12 cell battery positive
192,2004,"Si realmente desea un sistema explosivo y no necesita ejecutar aplicaciones de Windows, elija una Apple;",sistema positive <sep> Aplicaciones de Windows neutral,22-29 <sep> 63-86,"If you really want a bang-up system and don't need to run Windows applications, go with an Apple;",system positive <sep> Windows applications neutral
1248,2509,"Las versiones de estos programas no solo se pueden guardar, trabajar y abrir tanto en una PC como en una Mac, sino que las versiones de estos programas en una Mac son gráfica y funcionalmente superiores.",programas positive <sep> programas positive,23-32 <sep> 23-32,"Not only are the versions of these programs able to be saved, worked on and opened on both a PC and Mac, the versions of these programs on a Mac are graphically and functionally superior.",programs positive <sep> programs positive
2100,550,Los altavoces también son inútiles.,Altavoces negative,4-13,The speakers on it are useless too.,speakers negative
1476,1587,Está en las mejores condiciones y tiene una calidad realmente alta.,calidad positive,44-51,It is in the best condition and has a really high quality.,quality positive
2243,1913,Este proceso continuó repitiéndose hasta que la placa madre fue reemplazada 4 veces y el disco duro reemplazado 3 veces.,disco duro negative,89-99,  This process continued to repeat itself until the mother board had been replaced 4 times and the hard drive replaced 3 times.,mother board negative <sep> hard drive negative
1033,2515,Muy buena calidad y bien hecho.,calidad positive,10-17,Very good quality and well made.,quality positive
855,2787,"En general, la computadora es muy fácil de usar, la pantalla es perfecta, una gran computadora, a mi hija le encanta.",pantalla positive <sep> usar positive,52-60 <sep> 43-47,"Overall the computer is very easy to use, the screen is perfect, great computer, my daughter loves.",screen positive <sep> use positive
1266,2645,"No tengo ventanas emergentes estúpidas (incluso cuando tengo ventanas emergentes bloqueadas), no tengo que esperar 5 minutos para que se descargue una página web, y lo mejor de todo es que puedo ejecutar todo el software de programación web que necesito usar ",ventanas emergentes positive <sep> software de programación web positive <sep> ventanas emergentes neutral,9-28 <sep> 212-240 <sep> 9-28,"I don't have stupid pop up windows (even when I have pop ups blocked), I don't have to wait 5 minutes for a webpage to download, and best of all I can run all the web programming software I need to use all at once without slowing me down.",pop up windows positive <sep> web programming software positive <sep> pop ups neutral
2676,2782,"Si bien el teclado en sí está bien, la placa que lo rodea es de plástico barato y hace un sonido hueco cuando se usan los botones de comando del mouse.",teclado positive <sep> botones de comando del mouse negative,11-18 <sep> 122-150,"while the keyboard itself is alright, the plate around it is cheap plastic and makes a hollow sound when using the mouse command buttons.",keyboard positive <sep> plate negative <sep> mouse command buttons negative
1114,659,Reinstalé Windows a través de los discos de recuperación y todo parecía estar bien nuevamente.,discos de recuperación positive,34-56,I reinstalled windows through the recovery discs and everything seemed good again.,windows positive <sep> recovery discs positive
1298,2213,"Uso iphoto todo el tiempo, que es un gran programa para cualquiera que esté interesado en la fotografía, tanto aficionados como expertos.",iphoto positive <sep> programa positive,4-10 <sep> 42-50,"I use iphoto all the time, which is a great program for anyone who is into photography - amateurs and experts alike.",iphoto positive <sep> program positive
2099,2917,El portátil carece de un puerto HDMI y un puerto S-video que le permitiría conectarlo a un televisor.,Puerto HDMI negative,25-36,The notebook is lacking a HDMI port and a S-video port that would enable one to hook it to a TV.,HDMI port negative <sep> S-video port negative
646,2845,Compré esta computadora portátil debido a la relación rendimiento / precio.,rendimiento positive <sep> precio positive,54-65 <sep> 68-74,I bought this laptop because of the performance to price ratio.,performance positive <sep> price positive
374,2333,"Obviamente, una de las características más importantes de cualquier computadora es la ""interfaz humana"".",características neutral <sep> interfaz humana neutral,23-38 <sep> 87-102,"Obviously one of the most important features of any computer is the ""human interface.",features neutral <sep> human interface neutral
1045,1616,Fue muy fácil de configurar y es muy fácil acostumbrarse.,configurar positive,17-27,It was super easy to set up and Is really easy to get used to.,set up positive
2684,1511,¡Hay tantas características y beneficios maravillosos para el nuevo MacBook!,características positive,12-27,There are so many wonderful features and benefits to the new MacBook!,features positive
276,2124,Sobre todo me encanta la función de arrastrar y soltar.,función de arrastrar y soltar positive,25-54,Mostly I love the drag and drop feature.,drag and drop feature positive
852,2133,Pero debes conseguir las 15 pulgadas.,15 pulgadas positive,25-36,But you must get the 15 inch.,15 inch positive
1421,1174,") También compré Applecare por $ 300, que es una garantía extendida de tres años, ya que nunca he visto una computadora portátil que dure más de dos.",garantía extendida neutral,49-67,") I also purchased  Applecare  for $300, which is a three year extended warranty, since I ve never seen any laptop that lasted more than two.",Applecare neutral <sep> extended warranty neutral
356,138,Lo único bueno es la calidad de los gráficos.,calidad de los gráficos positive,21-44,only good thing is the graphics quality.,graphics quality positive
