Predicted idx,Gold idx
"[(15, 22)]","[(0, 6), (74, 76), (78, 82), (96, 110)]"
"[(11, 14)]","[(24, 30), (32, 37)]"
"[(25, 29)]","[(25, 29), (40, 47), (65, 68)]"
[],"[(8, 13), (25, 28)]"
[],"[(55, 61), (73, 79)]"
"[(24, 28), (41, 49), (59, 62), (79, 82)]","[(16, 22), (64, 71), (79, 82)]"
"[(4, 10), (33, 36), (38, 42)]","[(22, 25), (38, 42)]"
"[(34, 37)]","[(0, 10), (19, 25), (34, 37)]"
[],"[(14, 18), (29, 32)]"
[],"[(0, 3), (21, 27)]"
"[(19, 22), (38, 44), (54, 57)]","[(19, 36), (59, 69)]"
[],"[(17, 21), (37, 40)]"
[],"[(0, 4), (12, 17), (23, 27), (29, 35)]"
"[(0, 7), (14, 16), (53, 56)]","[(0, 7), (58, 68)]"
"[(25, 32), (34, 34), (113, 118), (126, 129)]","[(55, 59), (89, 96), (108, 124)]"
"[(16, 22)]","[(0, 14), (30, 34)]"
"[(8, 17), (19, 22), (59, 66)]","[(0, 6), (46, 51)]"
[],"[(0, 6), (20, 25)]"
"[(44, 47)]","[(0, 5), (85, 88)]"
[],"[(0, 4), (11, 21), (35, 42)]"
"[(69, 74)]","[(28, 31), (51, 54)]"
[],"[(0, 4), (18, 22), (36, 39)]"
[],"[(14, 19), (77, 83), (106, 115)]"
"[(17, 19), (21, 29)]","[(0, 8), (31, 54), (56, 92)]"
"[(41, 47), (57, 64), (66, 71), (83, 91), (93, 101)]","[(13, 16), (103, 114)]"
[],"[(8, 12), (28, 35)]"
"[(44, 49)]","[(28, 33), (60, 65)]"
"[(0, 3), (72, 76), (120, 129), (198, 201), (208, 214), (216, 220)]","[(0, 3), (34, 49), (63, 70), (148, 159), (166, 182)]"
[],"[(43, 48), (67, 71)]"
"[(14, 16), (37, 40)]","[(8, 12), (30, 35), (55, 63)]"
[],"[(8, 13), (26, 32)]"
[],"[(0, 3), (24, 35)]"
"[(0, 1), (51, 57)]","[(26, 31), (51, 65)]"
[],"[(30, 38), (50, 56), (63, 69)]"
"[(27, 30)]","[(56, 60), (74, 77)]"
[],"[(15, 18), (39, 43)]"
"[(10, 17), (121, 125)]","[(5, 8), (50, 59), (61, 70)]"
"[(22, 26), (28, 32), (28, 34), (36, 39)]","[(0, 3), (36, 39), (41, 45)]"
"[(19, 23), (39, 41), (52, 55)]","[(13, 17), (25, 32), (34, 37)]"
"[(5, 10)]","[(5, 10), (30, 33)]"
"[(14, 17)]","[(0, 6), (14, 17), (43, 46)]"
"[(0, 7), (15, 24), (65, 71)]","[(0, 7), (45, 56), (86, 89)]"
"[(25, 29), (44, 47), (68, 73)]","[(12, 15), (25, 29), (59, 66)]"
[],"[(0, 9), (59, 67)]"
"[(10, 17), (83, 88), (98, 99)]","[(0, 17), (44, 56), (108, 114)]"
"[(13, 17), (47, 51), (53, 61)]","[(32, 37), (39, 45)]"
"[(7, 10)]","[(0, 5), (23, 26)]"
"[(6, 10), (54, 63), (65, 71)]","[(32, 36), (38, 43), (54, 63)]"
"[(5, 11)]","[(5, 11), (20, 23)]"
"[(12, 18)]","[(4, 6), (28, 31)]"
[],"[(4, 7), (9, 13)]"
"[(28, 37)]","[(0, 18), (20, 26), (49, 86)]"
"[(10, 14), (23, 23), (44, 47)]","[(16, 21), (44, 47)]"
"[(0, 2), (4, 9), (24, 27), (40, 44)]","[(4, 9), (24, 27)]"
"[(33, 36), (57, 60), (94, 97), (99, 106)]","[(12, 19), (33, 36), (110, 120)]"
[],"[(25, 39), (53, 56)]"
"[(62, 68)]","[(20, 25), (62, 68), (98, 111)]"
"[(231, 237)]","[(0, 3), (5, 13), (24, 27), (35, 40), (100, 109), (127, 146), (185, 197), (199, 215), (225, 229), (231, 237), (263, 274)]"
"[(28, 36), (64, 67)]","[(5, 8), (28, 36), (38, 67)]"
"[(7, 13), (80, 87), (169, 171)]","[(7, 11), (15, 33), (72, 87), (131, 167)]"
"[(26, 29)]","[(5, 8), (26, 34)]"
"[(4, 13)]","[(33, 39), (41, 45), (55, 59)]"
"[(21, 25)]","[(6, 11), (13, 19)]"
"[(31, 39)]","[(19, 24), (57, 60)]"
"[(30, 36), (91, 96), (98, 108)]","[(30, 36), (38, 40), (86, 89), (127, 130)]"
"[(18, 23)]","[(16, 29), (31, 35)]"
[],"[(0, 10), (30, 39)]"
[],"[(0, 4), (19, 24), (36, 38)]"
"[(58, 62)]","[(13, 21), (58, 62), (91, 94)]"
"[(29, 29), (65, 68)]","[(0, 9), (31, 34)]"
"[(50, 58), (68, 73), (111, 116), (130, 134)]","[(0, 19), (68, 80), (87, 116), (118, 128), (130, 142), (144, 149), (151, 162), (172, 177)]"
"[(72, 78)]","[(27, 33), (35, 58), (80, 106), (162, 178)]"
[],"[(0, 3), (39, 45)]"
"[(54, 57), (74, 79)]","[(0, 6), (44, 47)]"
"[(82, 90)]","[(34, 44), (47, 52)]"
"[(30, 33)]","[(13, 21), (30, 40)]"
[],"[(0, 4), (26, 29), (59, 64)]"
"[(98, 100)]","[(22, 26), (28, 40), (69, 79), (130, 140)]"
[],"[(14, 16), (41, 45)]"
[],"[(6, 11), (46, 50), (65, 71)]"
"[(21, 30), (74, 79)]","[(74, 79), (102, 105)]"
"[(8, 12), (24, 27)]","[(0, 6), (14, 17), (55, 59)]"
[],"[(0, 22), (45, 55), (65, 69)]"
"[(6, 9), (34, 38), (56, 61)]","[(0, 4), (21, 26), (87, 93), (95, 100), (106, 109)]"
"[(0, 2)]","[(8, 16), (18, 26), (28, 40)]"
"[(26, 32), (85, 88)]","[(16, 32), (95, 101), (107, 121)]"
[],"[(4, 9), (25, 31)]"
[],"[(0, 6), (22, 25)]"
"[(8, 11), (36, 39)]","[(13, 16), (25, 34), (41, 48), (50, 53)]"
"[(32, 33), (82, 87)]","[(11, 15), (17, 20), (43, 71)]"
"[(14, 19)]","[(0, 5), (72, 75)]"
"[(84, 88)]","[(3, 9), (39, 44), (51, 54), (102, 107)]"
"[(13, 18), (86, 89)]","[(13, 18), (76, 84)]"
[],"[(0, 6), (14, 17)]"
"[(10, 16), (55, 61), (65, 69)]","[(30, 37), (65, 69)]"
[],"[(0, 3), (10, 13), (89, 95)]"
"[(10, 16), (76, 79)]","[(0, 3), (18, 26), (56, 60), (89, 93)]"
[],"[(0, 6), (15, 25), (35, 49)]"
[],"[(0, 6), (13, 17), (56, 59)]"
"[(75, 79)]","[(6, 10), (23, 36)]"
"[(15, 19), (32, 34), (51, 55)]","[(0, 8), (10, 19), (36, 43), (62, 72)]"
"[(46, 54)]","[(11, 14), (16, 22), (56, 74), (76, 95)]"
"[(37, 43)]","[(10, 13), (51, 55)]"
[],"[(16, 28), (53, 56)]"
"[(15, 20), (31, 34)]","[(22, 29), (42, 50)]"
"[(86, 89), (108, 112)]","[(28, 35), (91, 95)]"
"[(10, 15), (49, 55)]","[(5, 8), (22, 28)]"
"[(31, 37), (39, 46), (48, 54)]","[(0, 12), (39, 46)]"
"[(24, 33), (51, 61)]","[(5, 9), (24, 33), (46, 49)]"
"[(10, 14), (68, 71)]","[(16, 20), (40, 43)]"
"[(56, 59)]","[(12, 19), (56, 59)]"
"[(0, 9), (18, 21), (23, 26)]","[(0, 9), (38, 40)]"
"[(43, 47)]","[(17, 19), (43, 47)]"
"[(14, 16), (57, 60)]","[(5, 12), (18, 22), (62, 67)]"
"[(17, 23)]","[(0, 5), (29, 39), (41, 44)]"
[],"[(5, 9), (13, 17)]"
"[(15, 21)]","[(23, 26), (45, 49)]"
"[(0, 4), (33, 39), (41, 44), (88, 91)]","[(46, 53), (63, 75)]"
"[(44, 49)]","[(13, 16), (37, 42)]"
[],"[(24, 34), (53, 58), (60, 64)]"
[],"[(0, 5), (31, 35), (50, 56), (78, 81)]"
"[(32, 37), (81, 83)]","[(0, 10), (32, 37), (69, 72), (91, 94)]"
"[(11, 18)]","[(0, 18), (33, 45), (95, 97)]"
"[(35, 41)]","[(11, 20), (43, 46)]"
"[(16, 19), (29, 35), (62, 65)]","[(10, 19), (21, 35), (37, 50), (62, 79)]"
"[(87, 93)]","[(15, 21), (23, 27), (68, 72), (68, 77)]"
"[(5, 8)]","[(0, 3), (38, 41)]"
"[(20, 24), (44, 45), (53, 58)]","[(20, 24), (36, 42)]"
[],"[(50, 62), (75, 77)]"
"[(12, 18), (38, 43), (101, 106)]","[(30, 36), (64, 75), (101, 106)]"
"[(51, 57), (99, 106)]","[(59, 63), (70, 74), (76, 83), (85, 91)]"
[],"[(0, 5), (30, 33), (54, 59)]"
"[(3, 3), (10, 17)]","[(28, 31), (43, 46), (53, 59)]"
"[(61, 65)]","[(11, 16), (79, 83), (116, 119)]"
[],"[(8, 20), (29, 37), (39, 41), (43, 52)]"
"[(41, 45)]","[(17, 33), (47, 51)]"
"[(45, 47)]","[(10, 19), (21, 23), (31, 42)]"
"[(5, 10), (19, 28)]","[(5, 10), (58, 61)]"
"[(86, 92)]","[(5, 11), (50, 54)]"
"[(37, 40)]","[(0, 5), (37, 40)]"
"[(35, 44)]","[(0, 4), (55, 61)]"
"[(0, 6)]","[(44, 46), (64, 67)]"
"[(136, 140)]","[(60, 66), (68, 85), (113, 124), (183, 187)]"
"[(18, 20), (22, 26)]","[(0, 4), (22, 26), (28, 30)]"
"[(10, 15), (39, 45)]","[(0, 3), (17, 23)]"
[],"[(9, 14), (26, 30), (62, 65)]"
"[(47, 55), (95, 105), (107, 114)]","[(38, 45), (107, 114)]"
"[(30, 35)]","[(8, 12), (37, 40)]"
"[(69, 75), (77, 79)]","[(0, 4), (22, 52), (54, 67), (69, 79)]"
"[(29, 32), (91, 93)]","[(72, 78), (99, 103)]"
[],"[(44, 48), (61, 66), (86, 91)]"
"[(8, 13), (37, 39), (41, 47)]","[(0, 6), (19, 25)]"
"[(28, 37), (61, 66), (75, 77), (119, 123), (125, 128)]","[(10, 14), (28, 37), (68, 73), (136, 141), (148, 156)]"
"[(35, 40), (42, 46)]","[(28, 33), (65, 69), (75, 83)]"
[],"[(0, 9), (55, 61), (70, 73), (75, 81), (83, 90), (139, 146)]"
"[(0, 4), (13, 20), (22, 27), (54, 55), (77, 81), (83, 84), (183, 188)]","[(0, 9), (60, 75), (169, 175)]"
"[(24, 30), (56, 60)]","[(14, 36), (38, 44), (82, 86)]"
"[(18, 26), (46, 47), (49, 52), (54, 60), (89, 91)]","[(0, 3), (33, 44), (49, 52), (54, 60), (74, 77)]"
"[(12, 16), (18, 21)]","[(23, 26), (48, 57)]"
"[(0, 9), (16, 19)]","[(0, 9), (30, 37), (52, 55)]"
[],"[(0, 5), (29, 33)]"
"[(30, 35)]","[(5, 10), (19, 23), (30, 42)]"
[],"[(43, 46), (48, 51)]"
[],"[(0, 5), (34, 38)]"
"[(27, 30)]","[(10, 15), (64, 79)]"
"[(0, 4), (21, 27)]","[(21, 27), (41, 44)]"
"[(74, 76)]","[(13, 17), (31, 35), (86, 89)]"
"[(106, 111)]","[(9, 13), (22, 26), (51, 54), (56, 58)]"
"[(74, 78)]","[(32, 46), (69, 72), (93, 100)]"
"[(26, 35), (51, 60), (83, 94)]","[(0, 5), (62, 65)]"
[],"[(27, 31), (38, 41)]"
"[(61, 64), (79, 84)]","[(0, 4), (94, 98)]"
"[(71, 77)]","[(0, 5), (14, 17), (71, 77), (79, 81)]"
"[(0, 2), (4, 8)]","[(15, 18), (20, 27), (29, 35)]"
[],"[(0, 6), (28, 33)]"
"[(5, 11), (41, 45), (60, 65), (87, 92)]","[(0, 3), (13, 24), (54, 58), (103, 109)]"
"[(30, 35)]","[(0, 5), (37, 43)]"
[],"[(10, 16), (36, 39)]"
"[(31, 37), (89, 91)]","[(45, 49), (89, 91)]"
"[(13, 16)]","[(0, 7), (34, 37)]"
[],"[(17, 19), (39, 50), (85, 89)]"
"[(5, 8), (26, 31), (52, 56), (58, 61)]","[(5, 8), (10, 11), (26, 31), (43, 46), (52, 56)]"
[],"[(8, 21), (27, 33), (35, 41)]"
"[(68, 72)]","[(15, 21), (39, 44), (68, 72), (86, 89)]"
"[(0, 3), (26, 36), (51, 55)]","[(5, 16), (45, 49), (124, 129)]"
"[(44, 49)]","[(12, 16), (20, 24), (51, 59)]"
"[(6, 6), (67, 70), (91, 94), (106, 113)]","[(72, 82), (125, 136)]"
"[(21, 21), (59, 62)]","[(9, 14), (34, 42), (47, 52)]"
[],"[(0, 7), (14, 18), (68, 71)]"
[],"[(14, 20), (22, 25), (27, 34), (41, 44)]"
[],"[(0, 5), (18, 27), (29, 33), (65, 74)]"
[],"[(0, 10), (25, 27)]"
"[(5, 10), (12, 15), (24, 30), (37, 46)]","[(0, 3), (48, 54)]"
"[(26, 31), (91, 95)]","[(6, 24), (33, 36), (55, 65), (84, 95), (120, 123)]"
"[(51, 54)]","[(56, 59), (71, 79)]"
"[(29, 36), (61, 69)]","[(0, 12), (19, 27)]"
[],"[(5, 10), (12, 16)]"
"[(12, 16)]","[(0, 5), (18, 23), (45, 55)]"
"[(19, 22)]","[(5, 22), (46, 56)]"
"[(86, 97), (99, 103)]","[(61, 70), (105, 109)]"
"[(54, 62)]","[(7, 13), (25, 34), (41, 52), (75, 78)]"
[],"[(9, 12), (33, 38), (46, 50), (67, 72)]"
"[(28, 33)]","[(85, 90), (110, 113)]"
"[(14, 20), (22, 23), (70, 74)]","[(32, 36), (60, 68)]"
"[(4, 8), (16, 21), (40, 44)]","[(4, 21), (23, 32), (57, 61)]"
"[(24, 29)]","[(24, 29), (41, 45)]"
"[(7, 10), (12, 15), (17, 26), (54, 57)]","[(0, 5), (65, 69)]"
"[(93, 99)]","[(20, 34), (36, 43)]"
"[(5, 10)]","[(23, 28), (34, 39), (46, 52)]"
[],"[(18, 21), (23, 46), (53, 58), (60, 62)]"
"[(15, 18), (76, 81)]","[(0, 24), (26, 34), (36, 53)]"
[],"[(0, 10), (46, 53)]"
[],"[(25, 29), (43, 49), (51, 54)]"
"[(35, 41), (47, 50)]","[(8, 21), (35, 41), (52, 60)]"
"[(17, 21)]","[(0, 6), (52, 58), (68, 71)]"
"[(40, 51), (83, 89)]","[(27, 30), (54, 56), (66, 69)]"
"[(29, 31), (76, 81), (89, 95)]","[(0, 6), (44, 50)]"
"[(0, 4), (32, 35)]","[(15, 24), (37, 39)]"
[],"[(5, 10), (12, 16)]"
"[(72, 75), (122, 126)]","[(14, 18), (33, 36), (101, 104)]"
"[(12, 16), (18, 22)]","[(2, 5), (18, 22)]"
[],"[(7, 15), (37, 40)]"
"[(74, 78)]","[(0, 5), (50, 54)]"
"[(12, 17), (30, 32), (41, 42), (102, 105)]","[(12, 17), (36, 39), (84, 87)]"
"[(12, 16), (41, 44)]","[(28, 32), (34, 39), (41, 44)]"
[],"[(5, 12), (14, 20), (43, 46)]"
"[(5, 10), (38, 41), (81, 85)]","[(20, 30), (32, 36), (56, 61), (81, 85)]"
[],"[(23, 30), (48, 51), (67, 75)]"
"[(49, 52)]","[(0, 3), (5, 16), (18, 22), (24, 32)]"
"[(85, 88)]","[(0, 3), (40, 49), (80, 83)]"
[],"[(58, 64), (72, 77)]"
"[(10, 15), (85, 89)]","[(0, 4), (31, 36)]"
"[(3, 5)]","[(7, 12), (21, 25), (32, 34), (45, 49)]"
"[(4, 7), (58, 61)]","[(4, 7), (9, 13), (33, 40)]"
"[(6, 12)]","[(28, 31), (33, 39), (41, 45)]"
"[(0, 4), (27, 31), (59, 64), (106, 111), (136, 139)]","[(15, 20), (44, 47), (136, 146)]"
[],"[(0, 7), (34, 38), (52, 55)]"
"[(8, 13), (72, 77)]","[(0, 6), (89, 92)]"
"[(19, 21)]","[(13, 17), (60, 63)]"
"[(34, 37)]","[(8, 18), (26, 32)]"
"[(96, 102)]","[(35, 54), (76, 82), (104, 115)]"
"[(24, 29)]","[(24, 29), (71, 77)]"
"[(35, 37)]","[(0, 3), (11, 19)]"
[],"[(19, 21), (30, 34), (52, 56)]"
"[(122, 126)]","[(63, 72), (97, 98), (122, 131)]"
"[(42, 47)]","[(5, 13), (16, 28), (30, 40), (42, 58), (73, 77)]"
"[(17, 21)]","[(23, 28), (91, 96), (113, 116)]"
[],"[(40, 42), (95, 101)]"
"[(0, 5), (42, 48)]","[(30, 34), (42, 48), (69, 74)]"
"[(15, 20)]","[(15, 25), (27, 33)]"
"[(27, 31), (47, 53)]","[(21, 25), (33, 39)]"
"[(0, 4), (72, 76)]","[(6, 13), (60, 64), (72, 76)]"
"[(45, 50)]","[(30, 33), (52, 57)]"
"[(2, 7)]","[(9, 16), (40, 44)]"
"[(0, 17), (102, 107), (130, 137)]","[(79, 86), (120, 122)]"
"[(45, 49), (57, 60)]","[(0, 5), (45, 49)]"
"[(0, 3), (59, 65)]","[(27, 34), (47, 51)]"
