Predicted sentiment tags,Gold sentiment tags
"[(28, 36, 'POS'), (50, 56, 'POS')]","[(20, 36, 'NEG'), (58, 62, 'NEG')]"
"[(78, 85, 'POS'), (108, 112, 'NEG')]","[(15, 22, 'NEG')]"
"[(30, 33, 'POS')]","[(7, 28, 'NEG')]"
"[(175, 185, 'POS')]","[(30, 39, 'POS'), (74, 78, 'POS'), (80, 86, 'POS'), (118, 133, 'POS'), (144, 156, 'POS'), (158, 167, 'POS'), (169, 173, 'POS'), (175, 184, 'POS')]"
"[(9, 14, 'POS'), (23, 29, 'POS')]","[(0, 7, 'POS')]"
"[(50, 59, 'POS'), (9, 16, 'POS'), (113, 117, 'NEU'), (21, 23, 'POS'), (61, 65, 'POS')]","[(9, 16, 'NEG')]"
[],"[(0, 4, 'POS')]"
[],"[(0, 7, 'POS')]"
[],"[(9, 17, 'NEG')]"
"[(31, 35, 'POS'), (18, 21, 'NEG')]","[(0, 7, 'NEG')]"
[],"[(83, 87, 'POS')]"
"[(28, 37, 'POS'), (51, 58, 'POS'), (160, 165, 'POS')]","[(22, 26, 'POS'), (60, 67, 'POS'), (82, 96, 'POS')]"
[],"[(13, 19, 'POS'), (21, 24, 'POS')]"
"[(9, 14, 'POS')]","[(0, 7, 'POS')]"
"[(21, 27, 'POS'), (0, 5, 'POS'), (57, 61, 'NEG')]","[(0, 5, 'POS'), (39, 52, 'POS'), (57, 61, 'POS')]"
[],"[(0, 6, 'POS')]"
"[(7, 10, 'NEG'), (35, 37, 'POS')]","[(47, 54, 'NEG')]"
[],"[(21, 25, 'NEG')]"
[],"[(0, 5, 'NEG')]"
"[(46, 53, 'NEG')]","[(55, 59, 'NEG')]"
[],"[(0, 5, 'POS')]"
[],"[(29, 35, 'POS')]"
[],"[(0, 5, 'POS'), (17, 24, 'POS')]"
[],"[(10, 16, 'POS'), (28, 33, 'POS')]"
[],"[(28, 32, 'POS')]"
"[(273, 281, 'POS'), (33, 41, 'POS'), (432, 435, 'POS'), (389, 389, 'POS'), (172, 178, 'POS'), (283, 290, 'POS'), (427, 430, 'POS'), (407, 412, 'POS'), (398, 405, 'POS')]","[(138, 143, 'POS'), (160, 170, 'POS'), (199, 203, 'POS'), (229, 238, 'POS'), (283, 300, 'POS'), (360, 367, 'POS'), (398, 412, 'POS')]"
"[(375, 379, 'NEG'), (225, 231, 'POS'), (109, 113, 'POS'), (141, 147, 'POS'), (354, 357, 'POS'), (367, 373, 'POS'), (267, 280, 'NEG')]","[(32, 44, 'POS'), (115, 118, 'POS'), (296, 310, 'POS')]"
[],"[(29, 39, 'POS')]"
[],"[(0, 5, 'POS')]"
[],"[(0, 4, 'POS')]"
"[(22, 28, 'POS'), (36, 43, 'POS')]","[(30, 34, 'POS')]"
[],"[(0, 5, 'POS')]"
[],"[(0, 14, 'NEU')]"
[],"[(0, 5, 'POS')]"
"[(23, 28, 'POS')]","[(45, 55, 'POS')]"
"[(61, 71, 'POS')]","[(0, 8, 'POS'), (24, 32, 'POS'), (17, 22, 'POS')]"
[],"[(0, 7, 'POS'), (19, 26, 'POS'), (37, 42, 'POS')]"
[],"[(6, 12, 'NEG')]"
[],"[(0, 7, 'NEG')]"
[],"[(24, 32, 'NEG')]"
[],"[(0, 7, 'POS')]"
[],"[(0, 13, 'NEG'), (22, 29, 'NEG'), (46, 52, 'NEG')]"
[],"[(0, 10, 'POS'), (17, 22, 'POS')]"
"[(28, 32, 'POS'), (118, 121, 'NEG')]","[(10, 32, 'NEG')]"
[],"[(0, 4, 'NEG')]"
[],"[(18, 22, 'NEG')]"
"[(17, 20, 'POS'), (12, 15, 'POS'), (0, 10, 'NEG')]","[(0, 10, 'POS')]"
[],"[(0, 4, 'POS')]"
"[(87, 89, 'POS'), (51, 53, 'POS')]","[(0, 7, 'POS'), (21, 26, 'POS'), (61, 74, 'NEG')]"
"[(31, 36, 'POS'), (0, 6, 'POS')]","[(8, 19, 'POS')]"
"[(0, 7, 'POS')]","[(0, 7, 'POS')]"
[],"[(0, 4, 'POS'), (16, 23, 'POS')]"
"[(48, 49, 'POS'), (88, 98, 'POS')]","[(0, 5, 'POS'), (54, 63, 'POS'), (79, 86, 'POS')]"
[],"[(0, 7, 'NEG')]"
"[(6, 13, 'NEG')]","[(15, 19, 'NEG')]"
[],[]
"[(23, 31, 'POS')]","[(11, 21, 'POS'), (33, 40, 'POS')]"
"[(9, 13, 'POS')]","[(0, 7, 'POS'), (15, 20, 'POS')]"
[],"[(8, 11, 'NEG'), (13, 23, 'NEG')]"
[],"[(5, 15, 'NEG')]"
"[(48, 56, 'NEG')]","[(19, 28, 'NEG')]"
[],"[(0, 7, 'POS')]"
[],"[(8, 15, 'NEG')]"
"[(13, 16, 'POS'), (71, 80, 'POS'), (51, 56, 'POS'), (22, 27, 'POS')]","[(6, 11, 'POS'), (58, 61, 'NEG')]"
"[(27, 30, 'NEG')]","[(16, 25, 'NEG')]"
"[(2, 5, 'POS')]","[(0, 7, 'POS'), (9, 13, 'POS'), (23, 28, 'POS')]"
[],"[(0, 10, 'NEG')]"
"[(39, 44, 'POS'), (127, 134, 'NEG'), (78, 81, 'POS'), (75, 76, 'NEG')]","[(104, 114, 'NEG')]"
"[(45, 48, 'POS'), (21, 26, 'POS')]","[(92, 107, 'NEG')]"
[],"[(0, 7, 'POS'), (19, 24, 'POS')]"
[],"[(0, 4, 'POS')]"
"[(9, 16, 'POS')]","[(0, 7, 'POS')]"
[],"[(0, 4, 'POS')]"
[],"[(18, 23, 'POS')]"
"[(7, 11, 'POS')]","[(0, 5, 'POS'), (13, 20, 'NEG')]"
"[(16, 24, 'POS')]","[(0, 5, 'POS'), (7, 14, 'POS')]"
[],"[(9, 20, 'NEG')]"
"[(11, 16, 'POS')]","[(0, 9, 'NEG')]"
[],"[(6, 11, 'POS'), (18, 25, 'POS')]"
"[(16, 22, 'POS')]","[(0, 4, 'NEU')]"
[],"[(9, 17, 'POS'), (29, 36, 'POS')]"
"[(44, 50, 'POS')]","[(0, 4, 'POS')]"
"[(70, 78, 'POS'), (44, 47, 'NEU'), (13, 20, 'POS'), (60, 63, 'POS')]","[(7, 11, 'POS')]"
[],"[(0, 4, 'POS')]"
[],"[(0, 7, 'POS')]"
[],"[(6, 10, 'POS'), (18, 23, 'POS')]"
[],"[(23, 28, 'POS')]"
[],"[(0, 7, 'POS'), (24, 31, 'POS'), (41, 49, 'POS')]"
[],"[(0, 10, 'POS'), (21, 28, 'POS'), (37, 42, 'POS')]"
"[(8, 12, 'POS')]","[(30, 39, 'POS')]"
[],"[(10, 14, 'POS'), (16, 25, 'POS'), (60, 65, 'POS')]"
[],"[(16, 20, 'NEG')]"
[],"[(0, 3, 'NEG')]"
[],"[(16, 20, 'NEG')]"
"[(0, 4, 'POS')]","[(31, 36, 'NEG'), (38, 43, 'NEG'), (62, 65, 'NEG')]"
"[(12, 20, 'POS')]","[(0, 10, 'POS')]"
[],"[(7, 14, 'POS'), (50, 64, 'POS')]"
"[(0, 8, 'NEG')]","[(0, 16, 'POS'), (32, 36, 'POS')]"
[],"[(0, 4, 'POS')]"
"[(69, 73, 'NEG'), (32, 36, 'NEG')]","[(27, 36, 'NEU')]"
[],"[(0, 10, 'POS')]"
"[(24, 27, 'POS'), (29, 36, 'POS')]","[(0, 7, 'POS'), (44, 49, 'POS')]"
[],"[(0, 4, 'POS')]"
[],"[(0, 5, 'POS')]"
"[(21, 24, 'POS')]","[(5, 24, 'POS'), (50, 54, 'POS')]"
"[(15, 24, 'NEG'), (26, 38, 'POS')]","[(0, 4, 'POS'), (15, 24, 'POS')]"
[],"[(0, 5, 'NEG')]"
"[(0, 7, 'NEG')]","[(0, 7, 'NEU'), (22, 25, 'NEG')]"
[],"[(35, 53, 'NEG'), (35, 53, 'POS')]"
[],"[(0, 7, 'POS'), (24, 32, 'POS')]"
"[(13, 14, 'NEG')]","[(16, 26, 'NEG')]"
"[(26, 35, 'NEG'), (20, 24, 'POS'), (82, 90, 'POS')]","[(0, 3, 'NEG')]"
"[(0, 6, 'POS')]","[(0, 6, 'NEG')]"
"[(19, 23, 'POS')]","[(25, 31, 'POS'), (25, 31, 'NEG')]"
[],"[(46, 53, 'NEG')]"
"[(51, 58, 'NEG')]","[(36, 45, 'POS')]"
[],"[(0, 6, 'POS'), (22, 29, 'POS'), (71, 81, 'POS')]"
"[(110, 117, 'POS'), (127, 131, 'POS')]","[(8, 12, 'NEG')]"
[],"[(8, 18, 'POS'), (34, 43, 'POS'), (46, 54, 'POS'), (56, 63, 'POS'), (65, 70, 'POS')]"
"[(6, 15, 'NEG')]","[(6, 15, 'POS'), (17, 29, 'POS')]"
[],"[(0, 5, 'NEU')]"
[],"[(0, 7, 'NEG')]"
[],"[(8, 18, 'NEG'), (8, 18, 'NEG')]"
[],"[(17, 22, 'NEG')]"
[],"[(0, 10, 'NEG')]"
"[(31, 38, 'POS')]","[(0, 11, 'POS')]"
[],"[(7, 12, 'NEU')]"
[],"[(21, 27, 'NEG')]"
[],"[(75, 83, 'NEG')]"
"[(158, 163, 'NEG'), (34, 45, 'POS'), (102, 110, 'POS')]","[(47, 55, 'NEG')]"
"[(0, 11, 'POS')]","[(23, 30, 'NEG')]"
"[(90, 96, 'NEG'), (127, 136, 'POS')]","[(65, 70, 'POS')]"
[],"[(19, 30, 'POS')]"
"[(6, 13, 'POS')]","[(6, 13, 'NEG')]"
"[(0, 4, 'POS')]","[(6, 13, 'POS')]"
[],"[(14, 19, 'POS'), (27, 33, 'POS')]"
"[(6, 9, 'POS')]","[(0, 9, 'POS')]"
[],"[(0, 5, 'POS')]"
"[(0, 6, 'POS')]","[(25, 34, 'POS'), (71, 75, 'POS'), (77, 83, 'POS'), (94, 100, 'POS')]"
[],"[(9, 17, 'POS')]"
"[(67, 69, 'NEG')]","[(10, 18, 'POS'), (37, 52, 'POS'), (78, 81, 'POS')]"
"[(6, 14, 'POS')]","[(0, 4, 'NEG')]"
"[(81, 91, 'NEG')]","[(0, 8, 'NEG')]"
[],"[(0, 5, 'NEU')]"
"[(14, 19, 'POS'), (76, 78, 'POS')]","[(49, 53, 'POS'), (69, 78, 'POS'), (93, 101, 'POS')]"
[],"[(0, 16, 'POS')]"
"[(195, 202, 'POS'), (123, 127, 'POS')]","[(43, 51, 'NEG'), (150, 178, 'NEG'), (0, 3, 'POS')]"
[],"[(9, 13, 'NEG')]"
[],"[(6, 13, 'POS'), (21, 26, 'POS')]"
"[(0, 4, 'POS')]","[(6, 9, 'POS')]"
[],"[(13, 18, 'NEG')]"
[],"[(28, 33, 'NEG')]"
[],"[(33, 38, 'NEG')]"
"[(54, 59, 'NEG'), (14, 19, 'NEG'), (61, 66, 'POS')]","[(14, 31, 'NEG')]"
"[(73, 79, 'POS'), (50, 55, 'POS')]","[(73, 79, 'NEG')]"
[],"[(0, 3, 'NEG')]"
"[(0, 3, 'POS')]","[(34, 44, 'NEG')]"
[],"[(33, 43, 'NEG')]"
[],"[(15, 22, 'POS')]"
[],"[(0, 4, 'POS')]"
[],"[(9, 21, 'NEG')]"
[],"[(0, 10, 'POS')]"
"[(0, 3, 'POS'), (22, 30, 'POS')]","[(15, 20, 'POS')]"
"[(9, 12, 'NEU')]","[(14, 18, 'NEG')]"
"[(0, 5, 'POS')]","[(24, 33, 'NEG'), (0, 5, 'NEG')]"
"[(22, 26, 'POS'), (5, 12, 'POS')]","[(22, 31, 'NEG')]"
[],"[(0, 7, 'POS')]"
"[(49, 58, 'POS')]","[(0, 7, 'NEU')]"
"[(54, 58, 'POS')]","[(7, 12, 'NEG')]"
[],"[(18, 25, 'POS'), (36, 40, 'POS'), (51, 55, 'POS'), (63, 68, 'POS')]"
[],"[(0, 4, 'POS')]"
"[(17, 18, 'NEG')]","[(0, 8, 'NEU')]"
"[(0, 4, 'NEU')]","[(0, 4, 'POS')]"
[],"[(0, 5, 'POS')]"
[],"[(5, 8, 'POS')]"
"[(26, 30, 'NEG')]","[(0, 4, 'POS'), (11, 14, 'NEG')]"
"[(21, 24, 'POS'), (14, 19, 'POS'), (26, 31, 'POS')]","[(26, 42, 'NEG')]"
[],"[(0, 7, 'POS')]"
"[(27, 31, 'POS'), (6, 11, 'POS')]","[(6, 11, 'POS'), (18, 25, 'POS'), (27, 31, 'POS')]"
[],"[(0, 4, 'POS')]"
[],"[(38, 42, 'POS')]"
[],"[(14, 21, 'POS'), (23, 27, 'POS')]"
[],"[(11, 16, 'POS')]"
"[(27, 37, 'POS'), (39, 45, 'POS'), (0, 8, 'POS'), (14, 15, 'POS')]","[(27, 37, 'POS')]"
[],"[(8, 23, 'POS')]"
"[(45, 47, 'POS')]","[(29, 43, 'NEG')]"
"[(22, 25, 'NEG')]","[(0, 4, 'NEG')]"
"[(61, 68, 'POS'), (21, 28, 'POS')]","[(54, 68, 'NEU')]"
[],"[(5, 10, 'NEG')]"
"[(101, 105, 'NEG'), (33, 39, 'POS')]","[(26, 31, 'NEG')]"
"[(83, 91, 'POS'), (12, 22, 'POS')]","[(0, 10, 'POS'), (32, 40, 'POS'), (57, 63, 'POS'), (93, 97, 'POS')]"
"[(13, 21, 'POS')]","[(13, 21, 'POS'), (34, 41, 'POS')]"
[],"[(0, 4, 'POS')]"
[],"[(0, 7, 'POS'), (15, 20, 'POS'), (32, 42, 'POS')]"
[],"[(15, 22, 'POS'), (34, 39, 'POS'), (57, 66, 'POS'), (68, 74, 'POS'), (0, 3, 'POS')]"
"[(13, 18, 'NEG')]","[(0, 4, 'POS')]"
"[(25, 28, 'POS'), (66, 74, 'NEG')]","[(25, 33, 'POS')]"
[],"[(25, 30, 'POS')]"
"[(25, 33, 'POS')]","[(0, 7, 'POS'), (25, 33, 'POS')]"
[],"[(0, 7, 'NEU')]"
"[(70, 72, 'NEG')]","[(11, 16, 'POS'), (31, 38, 'POS')]"
[],"[(0, 15, 'POS')]"
"[(60, 63, 'NEG'), (25, 26, 'POS'), (12, 17, 'NEG')]","[(19, 26, 'POS'), (54, 58, 'POS'), (0, 10, 'POS')]"
"[(103, 110, 'NEG')]","[(23, 26, 'POS')]"
[],"[(6, 13, 'POS'), (15, 22, 'POS')]"
[],"[(0, 4, 'POS'), (15, 33, 'POS'), (35, 41, 'POS'), (43, 47, 'POS')]"
[],"[(16, 22, 'NEG')]"
"[(0, 6, 'POS')]","[(0, 14, 'POS')]"
"[(9, 15, 'POS')]","[(17, 22, 'POS')]"
[],"[(11, 16, 'POS'), (18, 25, 'POS')]"
[],"[(21, 30, 'NEG'), (48, 52, 'NEG')]"
"[(26, 39, 'POS')]","[(14, 18, 'POS'), (26, 39, 'NEG')]"
"[(0, 5, 'NEG')]","[(7, 12, 'POS')]"
[],"[(0, 7, 'POS')]"
"[(32, 42, 'POS')]","[(60, 65, 'POS'), (13, 21, 'POS'), (52, 58, 'POS')]"
[],"[(0, 4, 'POS')]"
"[(17, 24, 'POS'), (75, 79, 'NEG')]","[(17, 24, 'POS'), (61, 65, 'POS')]"
[],"[(0, 7, 'POS'), (42, 49, 'POS')]"
"[(8, 12, 'NEG'), (19, 23, 'NEG'), (106, 110, 'POS')]","[(32, 47, 'NEG'), (87, 93, 'POS')]"
[],"[(0, 6, 'POS'), (19, 23, 'POS')]"
"[(0, 4, 'POS')]","[(0, 4, 'POS')]"
"[(63, 71, 'NEG')]","[(0, 7, 'POS')]"
"[(7, 14, 'POS')]","[(0, 5, 'POS')]"
[],"[(5, 10, 'POS'), (21, 24, 'POS')]"
[],"[(17, 23, 'NEG')]"
"[(16, 21, 'POS')]","[(0, 7, 'POS'), (43, 47, 'POS')]"
[],"[(0, 4, 'POS')]"
"[(58, 62, 'NEG')]","[(0, 5, 'POS'), (47, 54, 'POS')]"
"[(5, 10, 'POS')]","[(0, 3, 'NEU')]"
[],"[(18, 25, 'POS')]"
[],"[(0, 3, 'POS')]"
"[(32, 36, 'POS')]","[(0, 5, 'POS'), (38, 45, 'POS')]"
"[(54, 57, 'POS')]","[(63, 74, 'POS')]"
"[(76, 87, 'POS'), (43, 52, 'POS')]","[(28, 35, 'POS')]"
[],"[(0, 8, 'POS')]"
"[(138, 140, 'POS')]","[(38, 44, 'POS'), (54, 59, 'POS'), (67, 71, 'NEU'), (92, 96, 'POS')]"
"[(72, 79, 'NEU'), (64, 70, 'POS')]","[(81, 87, 'POS'), (94, 98, 'POS')]"
"[(49, 52, 'POS')]","[(0, 10, 'POS'), (24, 31, 'POS'), (49, 52, 'POS')]"
[],"[(0, 6, 'NEU')]"
[],"[(5, 12, 'POS'), (14, 17, 'POS'), (30, 39, 'POS')]"
[],"[(0, 9, 'POS'), (21, 28, 'POS'), (39, 46, 'POS'), (57, 62, 'POS')]"
"[(8, 16, 'NEG')]","[(0, 16, 'POS')]"
[],"[(9, 16, 'POS')]"
"[(7, 14, 'POS'), (0, 5, 'NEG')]","[(0, 5, 'POS')]"
[],"[(0, 4, 'POS')]"
"[(3, 9, 'POS')]","[(0, 1, 'POS')]"
[],"[(0, 7, 'POS'), (9, 14, 'POS'), (16, 20, 'POS')]"
[],"[(15, 22, 'POS')]"
"[(7, 10, 'NEU'), (12, 19, 'NEU')]","[(0, 5, 'POS')]"
"[(7, 11, 'NEG')]","[(0, 5, 'POS'), (13, 17, 'NEG'), (24, 34, 'POS')]"
[],"[(0, 3, 'NEG')]"
[],"[(0, 7, 'NEG')]"
"[(19, 26, 'POS')]","[(6, 11, 'POS'), (19, 26, 'POS')]"
[],"[(8, 19, 'POS')]"
[],"[(0, 7, 'POS'), (23, 30, 'POS')]"
[],"[(10, 18, 'POS')]"
"[(26, 29, 'POS'), (60, 68, 'POS'), (70, 76, 'NEG')]","[(0, 6, 'POS')]"
"[(116, 125, 'POS'), (49, 56, 'POS'), (98, 106, 'POS')]","[(10, 15, 'POS'), (23, 27, 'POS')]"
"[(25, 33, 'NEG'), (35, 41, 'POS')]","[(0, 10, 'NEU')]"
"[(13, 17, 'POS')]","[(26, 33, 'NEU'), (35, 40, 'NEU')]"
"[(9, 13, 'POS'), (15, 20, 'POS')]","[(29, 36, 'NEG')]"
[],"[(61, 68, 'NEG')]"
"[(69, 74, 'POS'), (38, 49, 'POS')]","[(8, 12, 'NEG')]"
"[(42, 45, 'POS'), (47, 52, 'NEG'), (62, 70, 'POS')]","[(54, 60, 'NEG')]"
"[(159, 164, 'POS'), (71, 81, 'POS'), (137, 141, 'POS'), (92, 100, 'NEU')]","[(143, 148, 'NEG')]"
[],"[(0, 4, 'NEG'), (11, 19, 'NEG')]"
"[(31, 34, 'POS'), (41, 48, 'POS'), (72, 77, 'NEG'), (6, 12, 'POS'), (36, 39, 'POS')]","[(72, 77, 'NEG')]"
"[(11, 17, 'NEG'), (19, 26, 'POS')]","[(19, 26, 'POS')]"
[],"[(0, 10, 'NEG')]"
[],"[(10, 20, 'POS')]"
"[(20, 30, 'POS'), (0, 9, 'NEG')]","[(20, 30, 'NEG')]"
"[(115, 120, 'POS')]","[(26, 36, 'NEG'), (88, 103, 'NEG')]"
[],"[(1, 11, 'NEG')]"
"[(33, 38, 'NEG')]","[(1, 11, 'NEU')]"
"[(86, 92, 'POS')]","[(1, 14, 'NEG')]"
"[(43, 46, 'POS'), (137, 145, 'POS')]","[(1, 12, 'NEG')]"
"[(0, 5, 'POS')]","[(7, 10, 'NEG')]"
"[(19, 22, 'POS')]","[(0, 7, 'POS'), (24, 31, 'POS'), (39, 44, 'POS')]"
[],"[(6, 11, 'POS'), (13, 20, 'POS')]"
"[(57, 64, 'POS'), (206, 211, 'POS'), (29, 38, 'POS'), (86, 91, 'NEG')]","[(169, 174, 'POS'), (182, 204, 'POS')]"
[],"[(33, 43, 'POS'), (19, 24, 'POS')]"
[],"[(5, 15, 'POS')]"
"[(21, 30, 'POS'), (0, 5, 'NEG')]","[(0, 5, 'POS')]"
[],"[(8, 16, 'POS'), (28, 35, 'POS')]"
"[(21, 25, 'POS'), (0, 6, 'POS'), (27, 31, 'NEG')]","[(0, 6, 'POS'), (21, 25, 'NEG')]"
[],"[(0, 7, 'NEG'), (15, 22, 'NEG'), (34, 39, 'NEG'), (41, 46, 'NEG')]"
[],"[(0, 3, 'POS'), (23, 31, 'POS')]"
"[(0, 7, 'NEG')]","[(0, 7, 'POS')]"
"[(36, 42, 'POS')]","[(6, 14, 'POS')]"
"[(0, 9, 'POS'), (40, 49, 'NEG')]","[(28, 38, 'POS')]"
[],"[(0, 8, 'POS'), (21, 26, 'NEU'), (53, 58, 'NEU'), (65, 69, 'NEG')]"
[],"[(6, 11, 'POS'), (18, 25, 'POS')]"
[],"[(0, 11, 'POS')]"
"[(5, 8, 'POS')]","[(15, 25, 'POS')]"
[],"[(4, 10, 'POS')]"
[],"[(0, 7, 'POS')]"
"[(10, 13, 'NEG')]","[(10, 13, 'NEG')]"
"[(0, 7, 'NEG')]","[(15, 22, 'POS')]"
[],"[(0, 17, 'POS')]"
"[(95, 99, 'NEG'), (26, 33, 'NEG'), (57, 62, 'POS'), (101, 108, 'NEG'), (10, 18, 'NEU')]","[(10, 18, 'POS')]"
[],"[(0, 3, 'NEG')]"
[],"[(2, 5, 'POS')]"
[],"[(0, 7, 'POS')]"
[],"[(0, 5, 'NEG')]"
"[(19, 24, 'POS')]","[(6, 17, 'POS')]"
"[(15, 21, 'NEG')]","[(23, 31, 'POS')]"
[],"[(0, 10, 'POS'), (38, 42, 'POS')]"
