Predicted sentiment tags,Gold sentiment tags
"[(31, 37, 'POS')]","[(39, 42, 'POS')]"
[],"[(12, 15, 'POS'), (38, 41, 'NEG')]"
[],"[(0, 6, 'NEG')]"
"[(97, 100, 'POS'), (69, 81, 'POS'), (7, 10, 'POS')]","[(12, 17, 'NEG'), (49, 60, 'NEG')]"
"[(9, 13, 'NEG')]","[(9, 13, 'POS'), (22, 31, 'POS')]"
[],"[(22, 30, 'POS'), (40, 43, 'POS')]"
"[(24, 27, 'NEG')]","[(0, 6, 'POS')]"
"[(0, 3, 'POS')]","[(0, 3, 'POS')]"
[],"[(9, 13, 'NEG'), (32, 38, 'NEG')]"
"[(19, 25, 'POS')]","[(0, 4, 'POS'), (19, 25, 'POS')]"
[],"[(2, 5, 'NEG'), (15, 20, 'NEG')]"
"[(0, 4, 'POS')]","[(6, 12, 'POS')]"
[],"[(0, 6, 'POS')]"
[],"[(0, 6, 'POS')]"
[],"[(0, 3, 'POS'), (37, 41, 'POS')]"
"[(70, 75, 'POS')]","[(0, 3, 'POS'), (11, 19, 'POS'), (21, 28, 'NEG')]"
"[(57, 61, 'POS'), (34, 38, 'NEG'), (29, 32, 'POS'), (45, 49, 'POS')]","[(51, 61, 'POS')]"
"[(0, 6, 'POS')]","[(20, 24, 'NEG')]"
[],"[(5, 9, 'POS')]"
[],"[(5, 12, 'POS')]"
[],"[(8, 12, 'POS')]"
"[(15, 18, 'POS')]","[(11, 13, 'POS')]"
"[(11, 21, 'POS')]","[(30, 38, 'POS')]"
"[(0, 4, 'POS'), (35, 38, 'POS')]","[(29, 33, 'POS'), (6, 27, 'POS')]"
"[(0, 9, 'POS')]","[(20, 26, 'POS')]"
"[(5, 9, 'POS'), (24, 28, 'POS')]","[(0, 3, 'POS'), (11, 19, 'POS')]"
"[(0, 4, 'NEU')]","[(0, 4, 'POS'), (16, 29, 'POS')]"
[],"[(0, 7, 'POS')]"
[],"[(56, 63, 'POS')]"
[],"[(0, 4, 'POS')]"
"[(45, 52, 'NEG'), (0, 3, 'POS')]","[(13, 16, 'POS')]"
"[(66, 71, 'NEG')]","[(5, 13, 'POS'), (15, 28, 'POS'), (30, 42, 'POS'), (44, 58, 'POS')]"
"[(17, 20, 'POS')]","[(22, 26, 'NEG')]"
"[(0, 4, 'POS'), (13, 23, 'POS')]","[(0, 4, 'NEU')]"
"[(12, 17, 'POS')]","[(0, 4, 'NEU')]"
[],"[(0, 6, 'POS')]"
"[(0, 7, 'POS')]","[(9, 12, 'NEU')]"
[],"[(31, 34, 'NEU')]"
[],"[(11, 14, 'NEG')]"
"[(86, 92, 'POS'), (6, 8, 'NEG')]","[(45, 48, 'NEG'), (22, 26, 'NEG')]"
"[(8, 13, 'POS')]","[(0, 6, 'NEU')]"
"[(0, 4, 'POS'), (6, 9, 'POS')]","[(0, 4, 'POS')]"
"[(29, 34, 'NEG'), (51, 53, 'POS')]","[(8, 22, 'POS'), (24, 42, 'POS'), (102, 139, 'POS')]"
[],"[(0, 7, 'POS')]"
"[(5, 10, 'POS')]","[(5, 15, 'POS')]"
[],"[(0, 12, 'POS'), (14, 33, 'POS')]"
[],"[(0, 28, 'POS')]"
"[(67, 72, 'POS'), (24, 30, 'NEG')]","[(48, 55, 'NEU'), (57, 60, 'POS')]"
[],"[(26, 29, 'POS')]"
[],"[(25, 28, 'POS'), (30, 35, 'POS'), (37, 41, 'POS')]"
[],"[(11, 18, 'POS')]"
[],"[(5, 8, 'POS'), (5, 8, 'NEG')]"
[],"[(17, 20, 'POS')]"
"[(29, 34, 'POS'), (41, 43, 'POS'), (11, 15, 'POS')]","[(6, 15, 'POS'), (17, 27, 'POS'), (29, 34, 'POS'), (36, 39, 'POS')]"
"[(14, 17, 'POS'), (5, 8, 'POS')]","[(0, 3, 'POS'), (0, 3, 'NEG')]"
"[(20, 27, 'POS'), (29, 32, 'POS')]","[(29, 32, 'NEG')]"
"[(30, 36, 'NEU')]","[(0, 3, 'POS'), (30, 36, 'POS')]"
[],"[(5, 12, 'POS')]"
[],"[(17, 27, 'POS')]"
"[(63, 66, 'POS'), (34, 38, 'POS'), (48, 51, 'NEG')]","[(6, 10, 'POS')]"
[],"[(5, 14, 'POS'), (28, 32, 'POS'), (40, 55, 'POS'), (66, 72, 'POS')]"
[],"[(19, 22, 'POS')]"
[],"[(0, 9, 'POS')]"
[],"[(6, 15, 'POS')]"
"[(18, 25, 'POS'), (2, 6, 'POS')]","[(27, 38, 'POS')]"
[],"[(11, 19, 'POS')]"
[],"[(0, 12, 'POS')]"
"[(37, 48, 'POS'), (7, 10, 'NEG')]","[(7, 17, 'POS')]"
[],"[(0, 3, 'POS')]"
[],"[(13, 16, 'POS')]"
"[(12, 18, 'POS'), (35, 37, 'POS'), (0, 3, 'POS')]","[(12, 27, 'POS')]"
"[(15, 19, 'NEG'), (6, 13, 'NEG')]","[(0, 4, 'POS'), (15, 19, 'POS')]"
"[(3, 6, 'POS')]","[(3, 13, 'POS')]"
[],"[(5, 10, 'POS')]"
"[(0, 0, 'POS')]","[(2, 5, 'POS'), (46, 50, 'NEG')]"
[],"[(0, 5, 'POS')]"
"[(32, 35, 'NEG')]","[(0, 22, 'POS')]"
[],"[(0, 10, 'POS'), (16, 33, 'POS')]"
[],"[(16, 21, 'POS')]"
"[(25, 28, 'POS')]","[(17, 23, 'NEG'), (30, 36, 'NEG')]"
[],"[(8, 12, 'POS')]"
[],"[(6, 9, 'POS')]"
"[(44, 52, 'NEU')]","[(18, 27, 'NEG')]"
"[(19, 22, 'POS')]","[(24, 27, 'NEG'), (38, 41, 'NEG')]"
[],"[(0, 3, 'POS'), (10, 16, 'POS')]"
"[(35, 40, 'POS'), (42, 46, 'POS')]","[(30, 46, 'POS'), (48, 64, 'POS'), (66, 82, 'POS'), (84, 99, 'POS')]"
"[(33, 38, 'POS'), (40, 43, 'POS'), (19, 23, 'POS')]","[(0, 5, 'POS')]"
"[(17, 20, 'POS'), (7, 15, 'POS')]","[(17, 20, 'POS')]"
[],"[(13, 20, 'POS')]"
[],"[(40, 48, 'POS')]"
"[(46, 56, 'POS'), (10, 18, 'POS')]","[(0, 8, 'POS')]"
[],"[(14, 17, 'POS')]"
"[(0, 4, 'POS')]","[(0, 4, 'NEG')]"
"[(58, 63, 'POS'), (49, 51, 'POS'), (2, 4, 'POS')]","[(10, 14, 'NEG')]"
[],"[(0, 3, 'NEG'), (6, 11, 'NEG'), (52, 58, 'NEG')]"
"[(38, 41, 'POS'), (49, 61, 'POS')]","[(43, 47, 'NEG')]"
[],"[(0, 12, 'NEG')]"
[],"[(8, 20, 'NEG')]"
"[(13, 19, 'POS'), (5, 7, 'POS')]","[(13, 25, 'NEG')]"
[],"[(12, 16, 'POS'), (23, 27, 'POS'), (29, 34, 'POS')]"
[],"[(32, 41, 'POS')]"
[],"[(0, 4, 'POS')]"
[],"[(20, 27, 'POS')]"
[],"[(0, 4, 'POS')]"
[],"[(0, 20, 'POS')]"
[],"[(18, 21, 'POS'), (6, 10, 'POS')]"
"[(5, 8, 'POS')]","[(18, 20, 'POS')]"
"[(32, 39, 'POS')]","[(6, 9, 'POS'), (23, 30, 'POS'), (41, 47, 'POS')]"
[],"[(8, 11, 'POS')]"
[],"[(0, 3, 'POS')]"
"[(12, 18, 'NEG')]","[(0, 10, 'POS')]"
"[(0, 9, 'POS')]","[(0, 9, 'POS')]"
"[(40, 43, 'POS')]","[(0, 6, 'NEG'), (18, 25, 'NEG')]"
"[(0, 4, 'POS'), (12, 20, 'POS')]","[(22, 26, 'POS')]"
"[(6, 9, 'POS')]","[(6, 9, 'POS'), (19, 28, 'POS')]"
"[(0, 3, 'POS')]","[(5, 9, 'POS')]"
"[(45, 52, 'POS'), (6, 9, 'POS'), (57, 60, 'POS'), (13, 16, 'NEG')]","[(6, 9, 'POS'), (13, 32, 'POS')]"
[],"[(19, 27, 'POS')]"
"[(7, 15, 'POS')]","[(0, 5, 'POS'), (25, 28, 'POS')]"
"[(0, 9, 'POS')]","[(11, 15, 'POS')]"
"[(5, 9, 'POS')]","[(11, 16, 'POS'), (18, 23, 'POS'), (31, 34, 'POS')]"
[],"[(9, 19, 'POS')]"
"[(11, 14, 'POS')]","[(16, 20, 'POS')]"
"[(45, 48, 'POS'), (0, 4, 'POS'), (28, 37, 'POS')]","[(28, 37, 'POS')]"
"[(5, 10, 'POS'), (0, 3, 'POS')]","[(5, 16, 'POS')]"
"[(16, 20, 'POS')]","[(5, 9, 'POS'), (5, 9, 'NEG')]"
[],"[(9, 19, 'POS')]"
"[(19, 24, 'POS')]","[(0, 17, 'POS')]"
"[(10, 10, 'POS')]","[(5, 8, 'POS')]"
"[(30, 31, 'NEG'), (0, 0, 'POS')]","[(16, 21, 'POS')]"
"[(14, 16, 'POS'), (32, 36, 'POS')]","[(0, 5, 'POS'), (45, 48, 'POS'), (28, 43, 'POS')]"
[],"[(8, 11, 'POS')]"
"[(5, 8, 'POS')]","[(22, 28, 'POS')]"
[],"[(27, 35, 'POS'), (37, 44, 'POS')]"
"[(0, 0, 'POS'), (7, 13, 'POS'), (37, 44, 'POS')]","[(7, 19, 'POS')]"
"[(15, 21, 'POS')]","[(5, 13, 'POS'), (15, 26, 'POS'), (41, 47, 'POS')]"
"[(0, 3, 'POS')]","[(0, 3, 'POS')]"
"[(4, 7, 'POS')]","[(29, 35, 'POS')]"
[],"[(0, 4, 'POS'), (16, 25, 'POS')]"
[],"[(0, 9, 'NEU')]"
"[(0, 4, 'POS')]","[(0, 4, 'NEG'), (14, 17, 'POS')]"
"[(11, 14, 'NEU'), (23, 25, 'POS'), (37, 41, 'POS')]","[(37, 41, 'NEG')]"
[],"[(16, 23, 'NEG')]"
[],"[(39, 43, 'NEG')]"
[],"[(0, 11, 'NEG')]"
[],"[(6, 9, 'POS'), (18, 26, 'POS')]"
"[(0, 2, 'POS')]","[(50, 56, 'POS')]"
[],"[(6, 13, 'POS')]"
[],"[(5, 9, 'POS')]"
[],"[(36, 39, 'POS')]"
[],"[(32, 42, 'POS')]"
"[(19, 23, 'POS')]","[(0, 9, 'POS')]"
[],"[(7, 10, 'POS')]"
[],"[(5, 8, 'POS'), (21, 27, 'POS')]"
"[(65, 70, 'NEU'), (37, 41, 'POS')]","[(43, 46, 'POS'), (57, 63, 'POS')]"
"[(52, 55, 'POS')]","[(0, 8, 'POS'), (46, 50, 'POS')]"
[],"[(7, 12, 'POS')]"
[],"[(2, 6, 'NEG')]"
"[(162, 166, 'POS'), (156, 160, 'POS'), (238, 243, 'POS'), (6, 8, 'POS'), (85, 89, 'NEG'), (44, 49, 'NEG')]","[(0, 4, 'POS'), (28, 31, 'POS'), (39, 42, 'POS'), (51, 63, 'POS'), (73, 78, 'POS'), (80, 83, 'POS'), (85, 89, 'POS'), (91, 101, 'POS'), (103, 105, 'POS'), (107, 114, 'POS'), (116, 124, 'POS'), (126, 135, 'POS'), (137, 142, 'POS'), (144, 150, 'POS'), (152, 160, 'POS'), (162, 166, 'POS')]"
[],"[(4, 8, 'POS')]"
"[(0, 4, 'POS'), (47, 56, 'POS')]","[(65, 81, 'POS')]"
[],"[(10, 13, 'POS')]"
[],"[(0, 10, 'POS')]"
[],"[(12, 16, 'POS'), (38, 44, 'POS')]"
[],"[(51, 54, 'POS'), (22, 38, 'POS'), (4, 20, 'POS')]"
[],"[(5, 20, 'NEG'), (27, 31, 'NEG')]"
[],"[(30, 36, 'NEG'), (42, 45, 'NEG')]"
"[(31, 35, 'POS'), (43, 47, 'NEG')]","[(31, 35, 'NEG')]"
"[(7, 10, 'POS')]","[(26, 30, 'NEG')]"
"[(15, 22, 'POS')]","[(29, 36, 'POS'), (15, 22, 'NEG')]"
[],"[(34, 38, 'POS')]"
[],"[(0, 3, 'POS'), (15, 27, 'POS')]"
"[(8, 12, 'NEU')]","[(14, 17, 'NEU')]"
[],"[(0, 6, 'POS')]"
"[(48, 54, 'POS'), (62, 65, 'POS')]","[(0, 41, 'POS')]"
[],"[(0, 22, 'POS')]"
[],"[(0, 11, 'POS')]"
[],"[(6, 16, 'POS')]"
[],"[(11, 17, 'POS')]"
"[(26, 29, 'POS')]","[(0, 3, 'NEU'), (8, 14, 'NEG')]"
[],"[(18, 25, 'NEG')]"
"[(79, 86, 'POS')]","[(5, 9, 'NEG')]"
[],"[(6, 10, 'NEG')]"
[],"[(14, 23, 'POS'), (32, 38, 'NEG')]"
[],"[(20, 26, 'NEG')]"
"[(12, 17, 'POS'), (99, 107, 'POS'), (52, 55, 'POS')]","[(65, 74, 'NEG')]"
"[(38, 42, 'POS'), (0, 6, 'POS')]","[(22, 29, 'NEG')]"
[],"[(26, 32, 'NEG')]"
"[(0, 3, 'NEG')]","[(5, 13, 'POS')]"
"[(34, 37, 'POS'), (75, 79, 'POS'), (0, 0, 'POS')]","[(64, 67, 'POS')]"
"[(11, 14, 'POS')]","[(5, 9, 'POS')]"
"[(28, 33, 'POS')]","[(6, 18, 'POS'), (20, 26, 'POS'), (35, 52, 'POS')]"
[],"[(6, 10, 'POS'), (17, 23, 'NEG')]"
[],"[(7, 11, 'POS'), (24, 37, 'POS')]"
[],"[(10, 21, 'POS')]"
[],"[(30, 35, 'NEG'), (41, 51, 'NEG')]"
"[(11, 16, 'NEG'), (46, 50, 'POS')]","[(36, 44, 'NEG'), (0, 9, 'NEG')]"
"[(56, 67, 'POS')]","[(23, 27, 'POS'), (34, 40, 'NEG')]"
"[(23, 31, 'POS')]","[(13, 17, 'POS'), (52, 58, 'NEG')]"
[],"[(6, 14, 'POS')]"
[],"[(15, 23, 'POS')]"
[],"[(0, 3, 'POS'), (21, 31, 'POS')]"
[],"[(5, 13, 'POS')]"
[],"[(0, 16, 'POS')]"
"[(30, 33, 'POS')]","[(5, 16, 'POS')]"
[],"[(0, 7, 'POS')]"
"[(11, 19, 'POS')]","[(0, 4, 'POS')]"
"[(48, 53, 'POS')]","[(0, 4, 'POS'), (30, 35, 'POS'), (48, 53, 'POS')]"
[],"[(5, 22, 'POS')]"
[],"[(0, 8, 'POS')]"
"[(85, 87, 'POS'), (97, 101, 'NEG'), (47, 51, 'NEG'), (37, 40, 'POS')]","[(89, 95, 'POS'), (97, 101, 'POS'), (22, 29, 'POS')]"
[],"[(7, 31, 'POS')]"
"[(5, 10, 'POS')]","[(17, 26, 'POS')]"
"[(0, 6, 'POS')]","[(8, 14, 'NEG')]"
"[(26, 30, 'POS')]","[(2, 6, 'POS'), (84, 93, 'NEG'), (2, 6, 'NEG')]"
[],"[(15, 24, 'NEG')]"
[],"[(26, 32, 'NEG')]"
[],"[(0, 3, 'NEU'), (40, 49, 'NEG'), (40, 49, 'NEU')]"
"[(35, 39, 'POS')]","[(26, 33, 'POS')]"
"[(34, 38, 'POS'), (0, 6, 'POS'), (13, 16, 'NEG')]","[(18, 21, 'POS'), (34, 43, 'POS')]"
"[(55, 59, 'POS'), (43, 49, 'POS')]","[(8, 41, 'POS'), (51, 59, 'POS'), (67, 77, 'POS')]"
"[(44, 49, 'POS')]","[(6, 12, 'POS'), (6, 12, 'NEG')]"
[],"[(0, 13, 'POS')]"
"[(16, 19, 'POS')]","[(6, 19, 'POS')]"
"[(6, 8, 'POS')]","[(0, 21, 'POS')]"
[],"[(9, 13, 'NEU'), (9, 13, 'POS')]"
[],"[(5, 20, 'NEG')]"
"[(26, 33, 'NEU'), (2, 9, 'POS')]","[(26, 57, 'POS'), (67, 70, 'NEU'), (102, 117, 'NEG')]"
"[(92, 100, 'POS'), (83, 90, 'POS'), (102, 105, 'POS'), (22, 25, 'NEG')]","[(22, 25, 'POS'), (27, 42, 'NEG')]"
"[(35, 42, 'POS'), (44, 49, 'NEG')]","[(35, 42, 'NEG')]"
"[(68, 72, 'POS')]","[(19, 25, 'NEG')]"
"[(83, 85, 'POS'), (87, 91, 'POS'), (67, 72, 'POS'), (51, 57, 'POS')]","[(0, 6, 'NEG')]"
[],"[(21, 25, 'POS')]"
"[(0, 3, 'POS')]","[(0, 3, 'POS'), (0, 3, 'NEG')]"
"[(6, 12, 'NEG')]","[(6, 12, 'POS')]"
[],"[(5, 18, 'POS')]"
"[(15, 19, 'POS')]","[(0, 13, 'POS')]"
"[(15, 18, 'POS')]","[(28, 41, 'POS')]"
[],"[(34, 36, 'POS')]"
"[(20, 22, 'POS')]","[(5, 18, 'POS')]"
"[(41, 45, 'POS')]","[(41, 59, 'POS')]"
"[(19, 25, 'POS')]","[(19, 48, 'POS')]"
"[(31, 37, 'POS')]","[(0, 6, 'POS')]"
[],"[(6, 14, 'POS')]"
[],"[(8, 12, 'POS'), (15, 28, 'POS'), (30, 35, 'POS'), (37, 50, 'POS'), (64, 67, 'POS')]"
[],"[(0, 6, 'POS'), (22, 26, 'POS')]"
[],"[(26, 30, 'POS')]"
[],"[(18, 24, 'POS')]"
[],"[(54, 57, 'POS')]"
"[(25, 29, 'NEG'), (88, 93, 'POS')]","[(0, 4, 'POS'), (31, 40, 'POS'), (72, 81, 'POS')]"
[],"[(3, 12, 'POS')]"
"[(0, 0, 'NEG')]","[(20, 46, 'NEU')]"
"[(0, 5, 'POS')]","[(30, 39, 'POS')]"
"[(80, 85, 'NEG'), (96, 101, 'POS'), (34, 36, 'NEG')]","[(0, 4, 'POS'), (44, 65, 'NEG')]"
"[(4, 12, 'NEG')]","[(4, 29, 'NEU')]"
[],"[(9, 15, 'NEU')]"
[],"[(7, 15, 'POS')]"
"[(2, 3, 'POS'), (34, 38, 'POS')]","[(0, 9, 'POS')]"
[],"[(0, 4, 'POS')]"
"[(36, 38, 'POS'), (55, 60, 'POS'), (5, 10, 'POS')]","[(19, 34, 'NEU'), (36, 53, 'NEU')]"
[],"[(75, 79, 'NEG')]"
"[(0, 5, 'POS'), (7, 13, 'NEG')]","[(0, 5, 'POS'), (37, 42, 'POS')]"
[],"[(0, 5, 'POS')]"
"[(14, 15, 'POS')]","[(26, 35, 'POS')]"
"[(36, 39, 'POS')]","[(5, 8, 'POS'), (15, 18, 'POS')]"
"[(20, 23, 'NEG')]","[(20, 23, 'POS'), (0, 5, 'POS')]"
[],"[(15, 27, 'POS')]"
"[(27, 36, 'NEG')]","[(0, 5, 'NEG'), (22, 25, 'NEG')]"
"[(0, 3, 'NEG')]","[(9, 22, 'NEG')]"
"[(25, 30, 'POS')]","[(41, 44, 'POS')]"
[],"[(5, 8, 'NEU'), (5, 8, 'NEG')]"
[],"[(7, 10, 'NEG')]"
[],"[(9, 19, 'POS')]"
"[(0, 0, 'NEG'), (42, 46, 'POS')]","[(24, 33, 'POS')]"
[],"[(0, 4, 'POS'), (16, 20, 'POS')]"
"[(42, 49, 'POS')]","[(18, 27, 'POS'), (37, 40, 'POS')]"
[],"[(29, 33, 'POS'), (44, 50, 'POS')]"
[],"[(22, 34, 'POS')]"
"[(41, 48, 'POS'), (6, 10, 'NEG'), (23, 31, 'NEG')]","[(41, 47, 'POS')]"
[],"[(19, 22, 'POS')]"
[],"[(19, 22, 'POS'), (0, 6, 'POS')]"
[],"[(0, 6, 'POS')]"
"[(0, 2, 'POS')]","[(4, 17, 'POS')]"
"[(41, 48, 'POS')]","[(0, 6, 'NEU'), (13, 17, 'NEU')]"
[],"[(0, 3, 'POS')]"
[],"[(0, 4, 'POS')]"
"[(11, 15, 'POS')]","[(0, 9, 'POS')]"
"[(19, 25, 'POS')]","[(19, 25, 'POS')]"
[],"[(8, 11, 'POS')]"
[],"[(5, 8, 'POS')]"
[],"[(42, 46, 'NEG')]"
[],"[(0, 4, 'NEG')]"
"[(61, 66, 'NEU'), (11, 13, 'POS'), (52, 59, 'POS')]","[(47, 50, 'NEG')]"
"[(42, 56, 'POS')]","[(16, 34, 'NEG')]"
"[(24, 27, 'POS')]","[(36, 40, 'NEG'), (12, 22, 'NEG')]"
[],"[(2, 11, 'POS')]"
"[(23, 29, 'NEG')]","[(10, 27, 'POS')]"
[],"[(0, 6, 'POS')]"
"[(54, 57, 'POS'), (0, 6, 'POS')]","[(0, 6, 'POS'), (18, 23, 'POS'), (54, 57, 'POS')]"
"[(0, 0, 'NEG'), (70, 76, 'NEU'), (64, 68, 'NEG')]","[(38, 47, 'POS')]"
"[(25, 33, 'NEG')]","[(0, 3, 'POS')]"
[],"[(0, 4, 'POS')]"
"[(44, 48, 'POS')]","[(27, 31, 'POS'), (33, 42, 'POS'), (12, 15, 'POS'), (58, 63, 'POS')]"
[],"[(0, 5, 'POS')]"
[],"[(6, 16, 'POS')]"
"[(66, 70, 'POS')]","[(5, 9, 'NEU')]"
"[(0, 9, 'POS'), (27, 30, 'NEG')]","[(27, 30, 'POS')]"
"[(41, 46, 'POS')]","[(0, 5, 'POS')]"
"[(6, 10, 'POS')]","[(0, 4, 'POS')]"
"[(10, 18, 'POS')]","[(10, 18, 'POS')]"
"[(16, 19, 'POS'), (0, 0, 'POS')]","[(2, 10, 'POS')]"
"[(35, 40, 'POS'), (29, 33, 'POS')]","[(0, 4, 'POS')]"
[],"[(4, 10, 'POS')]"
[],"[(0, 3, 'POS')]"
[],"[(0, 6, 'NEU')]"
[],"[(5, 18, 'NEU')]"
[],"[(0, 8, 'POS'), (22, 33, 'POS')]"
[],"[(0, 14, 'POS')]"
"[(13, 19, 'POS')]","[(27, 33, 'POS')]"
[],"[(6, 10, 'POS')]"
"[(19, 28, 'POS'), (30, 33, 'NEG')]","[(30, 33, 'POS')]"
"[(0, 6, 'POS')]","[(0, 6, 'POS'), (60, 65, 'POS')]"
"[(23, 30, 'NEU'), (5, 8, 'POS')]","[(0, 3, 'POS'), (10, 21, 'POS')]"
"[(25, 28, 'POS'), (0, 6, 'POS')]","[(0, 6, 'NEU')]"
[],"[(7, 11, 'POS')]"
"[(21, 28, 'POS')]","[(21, 28, 'NEG')]"
"[(15, 17, 'POS'), (19, 24, 'POS'), (9, 13, 'POS'), (74, 78, 'POS'), (80, 88, 'POS'), (40, 46, 'NEG')]","[(0, 7, 'NEG')]"
[],"[(0, 4, 'POS')]"
[],"[(0, 9, 'POS'), (20, 24, 'POS')]"
"[(40, 43, 'NEG'), (50, 57, 'POS')]","[(15, 43, 'POS'), (0, 7, 'POS')]"
[],"[(11, 17, 'NEU')]"
"[(108, 111, 'POS')]","[(13, 18, 'POS'), (108, 111, 'NEG'), (13, 18, 'NEG')]"
[],"[(28, 39, 'NEG')]"
"[(42, 49, 'NEG')]","[(70, 74, 'NEG')]"
"[(16, 20, 'POS')]","[(22, 25, 'POS')]"
"[(18, 26, 'POS'), (0, 6, 'POS')]","[(0, 6, 'POS'), (0, 6, 'NEG')]"
"[(36, 42, 'POS')]","[(0, 6, 'NEG')]"
"[(72, 79, 'POS')]","[(15, 17, 'NEG'), (0, 3, 'NEG')]"
"[(57, 60, 'POS')]","[(57, 60, 'NEG')]"
"[(45, 51, 'POS'), (66, 69, 'POS'), (78, 83, 'NEG')]","[(27, 33, 'NEG'), (35, 51, 'NEG'), (53, 64, 'NEG'), (66, 73, 'NEG')]"
[],"[(36, 48, 'POS')]"
"[(91, 94, 'POS'), (0, 2, 'POS'), (70, 77, 'NEG')]","[(49, 58, 'POS')]"
[],"[(36, 39, 'POS'), (58, 60, 'POS')]"
"[(12, 17, 'POS'), (0, 4, 'POS'), (19, 24, 'NEG')]","[(26, 31, 'POS')]"
"[(195, 202, 'NEG'), (172, 175, 'POS'), (110, 114, 'NEG'), (151, 156, 'POS')]","[(99, 114, 'POS'), (151, 161, 'POS'), (191, 202, 'POS'), (242, 253, 'POS'), (50, 66, 'POS')]"
[],"[(33, 58, 'POS')]"
"[(8, 17, 'POS')]","[(0, 6, 'POS')]"
"[(23, 29, 'NEG')]","[(15, 41, 'POS'), (54, 85, 'POS'), (93, 102, 'POS')]"
[],"[(17, 21, 'POS')]"
"[(98, 101, 'NEG'), (63, 68, 'POS'), (92, 96, 'NEG'), (27, 36, 'NEU')]","[(0, 5, 'POS'), (76, 78, 'NEU')]"
[],"[(15, 27, 'POS')]"
[],"[(11, 14, 'POS')]"
