Predicted idx,Gold idx
"[(20, 29), (31, 38)]","[(11, 18), (31, 38)]"
[],"[(15, 19)]"
"[(0, 9), (19, 21), (23, 29), (47, 53), (55, 60)]","[(19, 21), (36, 45)]"
[],"[(11, 19)]"
"[(19, 28)]","[(19, 28)]"
"[(22, 35)]","[(18, 35), (45, 50)]"
"[(26, 31)]","[(0, 18)]"
"[(8, 11), (80, 85), (95, 99), (101, 105)]","[(0, 16), (8, 11), (68, 73)]"
[],"[(12, 41)]"
[],"[(0, 4)]"
[],"[(8, 19)]"
[],"[(8, 16)]"
[],"[(0, 7)]"
[],"[(14, 23)]"
"[(6, 10), (20, 28)]","[(38, 45)]"
[],"[(22, 31)]"
"[(84, 89)]","[(26, 34)]"
[],"[(0, 7)]"
[],"[(0, 4)]"
"[(0, 5), (9, 9)]","[(0, 5)]"
[],"[(22, 29)]"
"[(76, 85)]","[(0, 7), (54, 68), (99, 109)]"
[],"[(0, 4)]"
[],"[(0, 9)]"
"[(132, 135)]","[(109, 112), (158, 169)]"
"[(41, 44)]","[(0, 3)]"
[],"[(0, 4)]"
[],"[(0, 40)]"
"[(0, 4), (6, 19)]","[(21, 43)]"
[],"[(0, 7)]"
"[(15, 22)]","[(8, 13)]"
"[(35, 43), (69, 73)]","[(35, 43)]"
"[(11, 14), (26, 35), (48, 53)]","[(0, 9), (16, 35)]"
[],"[(0, 7)]"
"[(71, 80)]","[(0, 8)]"
"[(44, 50), (62, 64)]","[(9, 18), (34, 42), (52, 60)]"
"[(49, 52)]","[(0, 7)]"
[],"[(0, 9)]"
[],"[(0, 4)]"
[],"[(0, 23)]"
[],"[(0, 11)]"
"[(0, 7)]","[(9, 13)]"
"[(9, 13)]","[(9, 13)]"
"[(24, 29)]","[(9, 16)]"
"[(106, 125), (213, 222)]","[(12, 23), (43, 52), (176, 183), (184, 197), (213, 227)]"
"[(0, 4), (32, 41)]","[(32, 41)]"
"[(24, 31)]","[(0, 8)]"
"[(41, 43)]","[(0, 7), (22, 33)]"
"[(0, 4), (58, 60)]","[(14, 18), (53, 56)]"
[],"[(0, 7)]"
[],"[(0, 9)]"
"[(8, 18)]","[(0, 6)]"
"[(18, 26), (28, 34)]","[(36, 40)]"
"[(19, 26)]","[(0, 3)]"
[],"[(11, 24)]"
"[(0, 5)]","[(7, 11)]"
"[(0, 7)]","[(0, 7)]"
[],"[(0, 8)]"
[],"[(31, 37)]"
"[(10, 18), (96, 101), (113, 118)]","[(0, 18), (77, 94), (96, 111), (113, 125)]"
"[(0, 6), (24, 31), (40, 53), (85, 90)]","[(0, 17)]"
"[(33, 38)]","[(28, 31), (40, 59)]"
[],"[(0, 24)]"
"[(51, 55), (76, 80)]","[(21, 40), (76, 86)]"
"[(0, 9), (23, 25), (35, 41)]","[(0, 9), (23, 41)]"
[],"[(0, 5)]"
[],"[(25, 32), (34, 41)]"
[],"[(28, 32)]"
[],"[(14, 19), (82, 91)]"
"[(28, 41)]","[(7, 18), (58, 66)]"
[],"[(0, 2), (32, 37)]"
[],"[(0, 2)]"
[],"[(16, 38)]"
[],"[(15, 23)]"
[],"[(23, 33)]"
[],"[(10, 15)]"
"[(0, 8), (45, 55), (66, 66)]","[(0, 8)]"
"[(42, 46)]","[(0, 7)]"
"[(86, 97)]","[(0, 4), (54, 65), (75, 77)]"
[],"[(14, 18)]"
"[(0, 3), (41, 48)]","[(0, 23)]"
"[(86, 89)]","[(27, 39), (73, 89)]"
"[(0, 6), (52, 59)]","[(19, 35)]"
"[(62, 66)]","[(11, 18), (56, 60)]"
"[(31, 37), (39, 46)]","[(13, 17)]"
"[(14, 22)]","[(10, 22)]"
[],"[(6, 20)]"
[],"[(0, 11)]"
[],"[(0, 7)]"
[],"[(47, 50)]"
[],"[(15, 22)]"
"[(76, 79)]","[(17, 21), (44, 53), (81, 85)]"
"[(0, 5), (49, 57), (59, 66)]","[(0, 5)]"
"[(24, 28), (36, 42), (44, 47)]","[(44, 52)]"
"[(20, 27), (49, 52)]","[(0, 12), (54, 63)]"
[],"[(23, 30)]"
"[(37, 43)]","[(26, 35)]"
[],"[(26, 44)]"
"[(24, 26)]","[(69, 75)]"
[],"[(19, 27)]"
"[(18, 25), (36, 42)]","[(9, 16), (27, 34), (57, 65)]"
"[(43, 47)]","[(20, 28)]"
[],"[(0, 7)]"
"[(21, 24)]","[(13, 19), (43, 51)]"
[],"[(0, 2)]"
[],"[(13, 31)]"
[],"[(11, 40)]"
[],"[(14, 26), (28, 41)]"
[],"[(15, 18)]"
[],"[(0, 11)]"
[],"[(26, 30)]"
[],"[(0, 2), (11, 19)]"
[],"[(0, 13)]"
[],"[(32, 48)]"
"[(36, 40)]","[(0, 4), (36, 40), (51, 55)]"
"[(36, 41)]","[(0, 5), (36, 41), (43, 52)]"
"[(22, 26), (46, 51)]","[(0, 5)]"
"[(8, 12)]","[(14, 24), (34, 37), (39, 45)]"
"[(72, 80), (104, 108)]","[(0, 7), (82, 96), (110, 116)]"
"[(4, 8)]","[(0, 8), (32, 47)]"
"[(24, 29)]","[(0, 6)]"
[],"[(16, 36)]"
[],"[(6, 13)]"
"[(0, 9)]","[(11, 24), (25, 55), (57, 62)]"
"[(23, 30)]","[(41, 50), (64, 67)]"
[],"[(0, 11)]"
[],"[(5, 9)]"
[],"[(0, 7)]"
"[(26, 32), (58, 65), (83, 89)]","[(18, 56), (100, 122)]"
"[(0, 11), (72, 80)]","[(0, 11), (27, 44)]"
"[(16, 23)]","[(6, 8), (41, 46)]"
[],"[(23, 36), (52, 71), (63, 70)]"
"[(36, 39), (104, 114)]","[(97, 120)]"
"[(64, 70)]","[(15, 18), (27, 32), (57, 62), (84, 93), (95, 101)]"
[],"[(10, 21)]"
[],"[(11, 15)]"
"[(42, 48)]","[(84, 90)]"
"[(9, 16), (18, 25), (34, 42)]","[(34, 42)]"
"[(31, 36), (57, 61)]","[(10, 14)]"
[],"[(53, 61)]"
[],"[(27, 38), (40, 48), (50, 62)]"
[],"[(14, 16), (27, 35), (46, 51), (53, 65)]"
[],"[(0, 11)]"
[],"[(32, 38), (95, 102)]"
"[(6, 18)]","[(20, 27)]"
"[(8, 15), (27, 31), (53, 58), (123, 128), (139, 150), (246, 249)]","[(33, 43), (168, 175), (276, 279)]"
"[(64, 70)]","[(0, 6), (8, 13), (30, 37), (55, 62)]"
"[(0, 9)]","[(35, 43)]"
[],"[(24, 31), (57, 65), (67, 73), (99, 112)]"
"[(0, 2), (21, 26)]","[(51, 59), (62, 71)]"
"[(0, 3), (48, 57), (110, 119), (121, 125), (127, 137), (193, 197)]","[(28, 36), (74, 81), (121, 125), (187, 197), (199, 206)]"
"[(18, 25), (44, 52)]","[(18, 25), (44, 52), (66, 70)]"
[],"[(0, 6)]"
"[(6, 14)]","[(23, 26)]"
"[(49, 54), (62, 68), (76, 80), (82, 87)]","[(7, 12), (26, 35)]"
"[(5, 10)]","[(12, 21)]"
"[(9, 14), (53, 59)]","[(0, 7)]"
"[(32, 38)]","[(8, 13)]"
"[(36, 36)]","[(21, 26), (30, 34), (48, 53)]"
[],"[(0, 4)]"
"[(5, 9), (43, 54), (56, 64), (96, 102), (104, 109), (163, 174), (239, 244)]","[(67, 71), (104, 109), (127, 129), (193, 198), (234, 237), (294, 300), (309, 317), (394, 399), (403, 412)]"
[],"[(18, 23), (90, 95)]"
[],"[(0, 11)]"
"[(0, 4)]","[(21, 27)]"
"[(9, 15)]","[(0, 7), (42, 46)]"
"[(10, 13), (51, 55)]","[(0, 8)]"
"[(11, 18), (20, 24)]","[(44, 48)]"
"[(24, 28), (80, 83), (90, 99), (130, 135)]","[(0, 7), (0, 7), (130, 135), (179, 187)]"
"[(102, 108), (143, 147), (245, 251)]","[(0, 4), (47, 56), (68, 71), (92, 100), (116, 119), (121, 126), (143, 147), (160, 164), (177, 192), (194, 197), (224, 243)]"
"[(5, 10), (19, 24)]","[(5, 10)]"
"[(129, 133)]","[(35, 46), (49, 62), (118, 127)]"
"[(4, 6)]","[(45, 49)]"
"[(0, 2)]","[(21, 25)]"
"[(36, 45), (99, 104)]","[(36, 44), (59, 72), (85, 93), (128, 133)]"
"[(18, 23), (30, 34)]","[(0, 4)]"
"[(26, 30)]","[(26, 30)]"
"[(64, 68)]","[(0, 5), (48, 62)]"
"[(24, 29), (78, 81)]","[(0, 22), (40, 52)]"
[],"[(0, 3), (5, 9)]"
"[(31, 38)]","[(40, 49), (51, 69)]"
"[(120, 122)]","[(41, 48), (50, 69), (71, 87)]"
"[(0, 4), (16, 18)]","[(0, 4)]"
[],"[(0, 4), (24, 32)]"
[],"[(0, 10)]"
"[(25, 25)]","[(14, 23), (27, 40)]"
"[(28, 34)]","[(0, 6), (36, 45)]"
"[(33, 38), (40, 44)]","[(0, 7), (33, 44), (64, 132)]"
[],"[(0, 4), (22, 26)]"
[],"[(18, 32)]"
"[(17, 21), (89, 92), (94, 102)]","[(17, 36)]"
"[(44, 49), (67, 72), (74, 79)]","[(11, 14), (89, 108), (126, 142)]"
[],"[(0, 7), (42, 53)]"
"[(22, 26)]","[(0, 7), (16, 20)]"
"[(26, 37), (39, 44)]","[(26, 37)]"
"[(35, 39)]","[(0, 8)]"
"[(6, 10)]","[(34, 37)]"
"[(35, 41), (43, 52)]","[(7, 11), (21, 33), (35, 52)]"
"[(18, 30)]","[(0, 9)]"
"[(6, 13)]","[(15, 26)]"
[],"[(0, 8)]"
[],"[(35, 42)]"
[],"[(71, 80)]"
[],"[(81, 85), (87, 96)]"
"[(49, 54)]","[(18, 26)]"
"[(21, 26), (28, 34)]","[(21, 26)]"
"[(48, 52), (82, 88), (96, 97)]","[(0, 8)]"
"[(36, 43), (45, 53), (84, 93)]","[(19, 26)]"
[],"[(0, 28)]"
"[(18, 23), (25, 31)]","[(0, 7)]"
[],"[(0, 7), (30, 32)]"
[],"[(0, 5)]"
[],"[(20, 31), (57, 64)]"
"[(10, 20), (37, 43)]","[(31, 43), (45, 60), (62, 68), (70, 79)]"
"[(16, 23), (25, 29), (40, 51)]","[(0, 14)]"
"[(27, 32), (54, 61), (63, 72), (99, 104)]","[(44, 52), (87, 95), (106, 119)]"
"[(0, 6)]","[(27, 36)]"
"[(3, 7), (36, 43), (45, 57), (59, 64)]","[(16, 25), (45, 57)]"
"[(6, 11), (45, 50)]","[(52, 57)]"
"[(17, 24)]","[(0, 4), (17, 24)]"
[],"[(35, 37)]"
"[(13, 18), (21, 26)]","[(7, 11)]"
[],"[(10, 18)]"
[],[]
"[(6, 16)]","[(18, 24)]"
[],"[(0, 5)]"
"[(9, 16)]","[(0, 7)]"
[],"[(18, 21)]"
"[(33, 36), (66, 70)]","[(33, 36)]"
"[(55, 60)]","[(19, 33)]"
"[(5, 9), (47, 50)]","[(20, 36), (52, 64)]"
[],"[(26, 29), (46, 51)]"
"[(7, 11), (137, 142)]","[(55, 62), (110, 114)]"
"[(50, 55), (141, 147), (158, 164), (181, 189)]","[(181, 189)]"
[],"[(15, 19)]"
[],"[(14, 22)]"
"[(0, 3)]","[(5, 13)]"
"[(0, 7), (43, 47)]","[(9, 20)]"
[],"[(49, 58)]"
"[(0, 7), (27, 35), (37, 41)]","[(27, 35)]"
[],"[(15, 18)]"
[],"[(8, 13)]"
"[(76, 91), (141, 149), (161, 170), (196, 203)]","[(0, 16)]"
"[(35, 45)]","[(35, 50)]"
[],"[(6, 8)]"
[],"[(36, 39)]"
"[(47, 54), (86, 86), (172, 177), (203, 208)]","[(76, 83)]"
"[(143, 149)]","[(0, 11), (62, 69)]"
"[(10, 16), (43, 50), (52, 52), (76, 83)]","[(34, 50)]"
[],"[(0, 3), (34, 39), (71, 78), (96, 101)]"
[],"[(10, 12), (10, 21)]"
"[(41, 44), (61, 67)]","[(30, 39)]"
"[(0, 4)]","[(30, 37)]"
[],"[(7, 15)]"
"[(72, 80)]","[(31, 42), (56, 64)]"
[],"[(0, 7)]"
"[(47, 53), (67, 71), (80, 87), (101, 105)]","[(67, 71), (127, 129)]"
"[(58, 60), (110, 114)]","[(33, 41)]"
[],"[(65, 69)]"
[],"[(84, 93)]"
[],"[(26, 34)]"
[],"[(82, 94)]"
[],"[(25, 30)]"
"[(0, 2), (5, 16), (18, 29), (39, 45), (79, 85)]","[(47, 51), (53, 58)]"
[],"[(22, 25), (27, 38), (46, 54)]"
"[(22, 29)]","[(58, 69), (130, 138)]"
"[(0, 3)]","[(0, 3)]"
"[(0, 9), (43, 45)]","[(11, 15), (28, 34), (47, 68), (70, 85), (87, 104)]"
"[(32, 43)]","[(3, 36)]"
[],"[(32, 38)]"
"[(0, 7)]","[(0, 7), (37, 42), (54, 59)]"
[],"[(0, 7)]"
"[(5, 9), (11, 17)]","[(19, 22)]"
"[(12, 20)]","[(12, 20)]"
[],"[(0, 7)]"
[],"[(0, 10)]"
[],"[(0, 8)]"
"[(31, 38)]","[(57, 66), (80, 85)]"
"[(68, 74), (76, 83)]","[(39, 51)]"
[],"[(5, 8)]"
"[(67, 70), (77, 85), (108, 116)]","[(8, 10), (39, 47)]"
"[(35, 44)]","[(46, 52)]"
"[(21, 26), (28, 32), (34, 37), (71, 74)]","[(15, 19)]"
"[(64, 65)]","[(0, 7)]"
[],"[(0, 6)]"
"[(0, 9)]","[(30, 44), (46, 65)]"
[],"[(12, 15)]"
[],"[(8, 13)]"
[],"[(0, 4)]"
"[(23, 28), (30, 41)]","[(9, 17)]"
"[(43, 48)]","[(32, 39)]"
[],"[(4, 8)]"
[],"[(25, 32), (44, 48), (62, 66), (68, 71), (74, 81)]"
"[(7, 10), (18, 22), (52, 54)]","[(37, 44)]"
[],"[(26, 31)]"
"[(41, 48)]","[(32, 39)]"
"[(27, 35)]","[(46, 52)]"
"[(5, 11), (60, 65), (76, 80)]","[(30, 36)]"
"[(0, 8), (10, 14), (31, 34)]","[(16, 29)]"
[],"[(23, 54)]"
[],"[(12, 36)]"
"[(22, 25)]","[(0, 5), (22, 25)]"
"[(33, 39), (87, 92)]","[(33, 53)]"
"[(0, 2)]","[(22, 25)]"
[],"[(0, 7)]"
[],"[(14, 21)]"
[],"[(14, 21)]"
"[(37, 42)]","[(11, 19), (37, 41)]"
"[(28, 39), (64, 75)]","[(0, 7)]"
"[(0, 6)]","[(58, 66)]"
"[(0, 2)]","[(0, 2)]"
[],"[(9, 17)]"
"[(8, 12), (48, 53)]","[(26, 33), (48, 53)]"
[],"[(10, 24)]"
"[(0, 11)]","[(0, 11), (24, 32)]"
"[(47, 51)]","[(0, 7)]"
[],"[(9, 16)]"
[],"[(32, 39)]"
[],"[(9, 21), (46, 52)]"
"[(7, 13)]","[(38, 43), (85, 90)]"
"[(28, 34)]","[(0, 6)]"
[],"[(0, 5)]"
[],"[(0, 8)]"
"[(25, 32), (104, 104), (166, 172)]","[(94, 102), (142, 147)]"
"[(63, 69)]","[(6, 15)]"
"[(16, 19)]","[(21, 28)]"
"[(55, 60), (80, 87), (104, 107)]","[(40, 44), (80, 87)]"
"[(13, 26)]","[(28, 30), (42, 46)]"
[],"[(72, 76)]"
"[(12, 19)]","[(0, 4)]"
"[(21, 27)]","[(0, 11)]"
"[(58, 66)]","[(0, 11), (78, 86)]"
"[(50, 52)]","[(8, 13), (25, 28), (50, 52)]"
[],"[(22, 33), (52, 59), (70, 77)]"
"[(5, 11)]","[(20, 24)]"
"[(14, 17), (51, 54)]","[(37, 42), (44, 49)]"
[],"[(0, 11)]"
[],"[(7, 16)]"
[],"[(0, 10)]"
[],"[(0, 11)]"
"[(46, 50)]","[(24, 32)]"
"[(0, 4)]","[(34, 41)]"
[],"[(22, 30)]"
[],"[(25, 32)]"
[],"[(98, 106)]"
[],"[(0, 3)]"
"[(8, 13)]","[(0, 6)]"
[],"[(9, 33)]"
"[(8, 12)]","[(23, 26)]"
[],"[(0, 3)]"
[],"[(0, 4)]"
"[(0, 7), (114, 117)]","[(0, 7), (31, 45)]"
"[(0, 16)]","[(18, 26)]"
"[(89, 96), (122, 127), (199, 209)]","[(41, 50), (41, 50)]"
"[(38, 42)]","[(27, 36)]"
[],"[(36, 40)]"
"[(0, 7), (18, 24)]","[(26, 41)]"
"[(32, 40)]","[(0, 11)]"
"[(25, 35), (38, 40), (102, 109), (136, 141), (143, 150), (160, 165)]","[(167, 171), (167, 171)]"
"[(12, 22)]","[(24, 31)]"
"[(33, 37)]","[(33, 37)]"
[],"[(8, 23)]"
"[(0, 6)]","[(19, 38)]"
[],"[(51, 70)]"
"[(15, 20), (37, 45), (65, 71), (73, 84)]","[(31, 35), (73, 82)]"
"[(49, 54)]","[(9, 14), (16, 25), (27, 32), (34, 37)]"
"[(7, 16), (60, 63)]","[(0, 16)]"
"[(16, 27)]","[(9, 27)]"
"[(9, 15)]","[(0, 7)]"
"[(55, 59)]","[(9, 13), (76, 88)]"
"[(24, 30)]","[(49, 51)]"
[],"[(26, 38)]"
[],"[(0, 21)]"
[],"[(20, 25)]"
[],"[(9, 16), (27, 32), (45, 52)]"
"[(66, 69)]","[(66, 75)]"
"[(0, 11), (13, 18)]","[(13, 18), (39, 47)]"
[],"[(0, 4)]"
[],"[(8, 17)]"
"[(0, 5)]","[(0, 5)]"
"[(10, 16), (22, 34), (45, 49)]","[(36, 43)]"
"[(0, 5)]","[(35, 42)]"
"[(73, 79)]","[(32, 39)]"
"[(35, 43)]","[(25, 33)]"
[],"[(18, 25)]"
"[(0, 7)]","[(76, 85)]"
"[(0, 6)]","[(44, 64)]"
"[(6, 14)]","[(0, 4)]"
[],"[(12, 19)]"
"[(0, 4), (6, 9)]","[(0, 4)]"
[],"[(0, 15)]"
[],"[(0, 7)]"
[],"[(14, 21)]"
"[(45, 50)]","[(27, 43)]"
"[(5, 15), (31, 43), (102, 106), (116, 119)]","[(0, 3), (45, 51), (88, 91), (116, 119)]"
[],"[(20, 31)]"
"[(63, 68)]","[(0, 3), (41, 56)]"
"[(7, 9)]","[(22, 25)]"
"[(53, 58), (60, 65), (107, 115)]","[(28, 33), (71, 75)]"
"[(73, 80), (113, 118)]","[(16, 20), (120, 127)]"
"[(0, 5)]","[(0, 5)]"
[],"[(0, 7)]"
"[(22, 26)]","[(8, 20), (61, 65)]"
"[(0, 12)]","[(14, 21)]"
[],"[(12, 16)]"
"[(0, 8)]","[(10, 13)]"
[],"[(11, 18)]"
[],"[(9, 16)]"
[],"[(8, 31)]"
"[(0, 6), (48, 53), (76, 83), (99, 102), (123, 130), (197, 199), (221, 227), (234, 242), (244, 254), (285, 293), (319, 326)]","[(104, 114), (221, 232), (256, 262)]"
"[(21, 28)]","[(0, 4), (0, 4)]"
"[(9, 13), (42, 52), (59, 63)]","[(0, 20)]"
"[(28, 33), (48, 53), (63, 71), (79, 84), (127, 135), (139, 143)]","[(0, 14), (10, 14), (63, 77), (145, 151)]"
"[(17, 26), (50, 53), (81, 84)]","[(0, 8), (86, 97), (136, 142)]"
[],"[(0, 11), (60, 71)]"
[],"[(0, 32)]"
"[(19, 26), (70, 76)]","[(4, 10), (78, 87)]"
"[(20, 24)]","[(0, 9)]"
[],"[(0, 7)]"
[],"[(18, 24)]"
"[(19, 29)]","[(0, 4), (12, 17)]"
"[(28, 35)]","[(2, 9)]"
[],"[(0, 5)]"
"[(14, 21), (42, 45)]","[(30, 45)]"
[],"[(9, 14), (16, 18), (38, 52)]"
"[(0, 4), (6, 15)]","[(0, 4), (22, 25)]"
"[(0, 6)]","[(22, 30)]"
"[(31, 36)]","[(0, 6), (38, 40)]"
"[(59, 69)]","[(26, 34), (71, 78)]"
"[(16, 28), (65, 70)]","[(0, 7)]"
[],"[(3, 16)]"
[],"[(3, 10), (37, 42), (77, 84)]"
[],"[(3, 8)]"
"[(4, 17), (92, 101), (127, 132), (134, 137)]","[(4, 11)]"
"[(34, 41)]","[(22, 47)]"
[],"[(30, 41), (61, 71)]"
"[(18, 21)]","[(0, 2), (30, 43), (57, 76), (84, 87), (100, 107)]"
[],"[(0, 11), (35, 43)]"
"[(9, 16)]","[(0, 7)]"
"[(24, 29), (62, 68), (70, 72)]","[(0, 4), (38, 43)]"
"[(27, 31)]","[(17, 25), (27, 38), (40, 43)]"
"[(13, 19)]","[(0, 11)]"
[],"[(0, 2)]"
[],"[(8, 11)]"
"[(6, 13)]","[(15, 24)]"
[],"[(9, 13)]"
"[(0, 7)]","[(0, 7), (29, 53)]"
[],"[(0, 5), (32, 36), (38, 43)]"
[],"[(0, 11)]"
[],"[(11, 15)]"
"[(82, 88), (109, 116)]","[(143, 148)]"
"[(23, 33)]","[(0, 5), (7, 13)]"
[],"[(27, 40)]"
"[(11, 20), (22, 30), (32, 37)]","[(48, 61)]"
"[(9, 17)]","[(0, 7), (62, 73)]"
[],"[(22, 29)]"
[],"[(20, 25), (27, 49)]"
[],"[(12, 18)]"
"[(8, 13), (21, 21)]","[(0, 19), (40, 45)]"
"[(0, 5)]","[(0, 25), (27, 58)]"
"[(21, 28)]","[(9, 12)]"
[],"[(9, 17)]"
[],"[(0, 6)]"
[],"[(0, 9)]"
[],"[(0, 22)]"
"[(5, 10), (16, 21)]","[(0, 3)]"
[],"[(22, 31)]"
"[(21, 32)]","[(0, 7)]"
[],"[(9, 19)]"
"[(29, 36)]","[(38, 53), (75, 80)]"
"[(49, 53), (55, 58)]","[(5, 18)]"
"[(8, 15)]","[(0, 15)]"
"[(0, 6)]","[(0, 6)]"
[],"[(15, 22), (15, 22)]"
[],"[(6, 11), (23, 25)]"
[],"[(0, 6)]"
[],"[(15, 20)]"
"[(6, 10), (12, 20), (22, 32), (34, 39), (53, 59), (96, 101)]","[(61, 66)]"
[],"[(0, 8)]"
"[(9, 18), (20, 24)]","[(0, 7)]"
"[(22, 26)]","[(0, 7)]"
"[(29, 36)]","[(18, 23), (25, 27), (29, 45)]"
"[(13, 16)]","[(0, 5)]"
"[(0, 3), (14, 18)]","[(0, 3)]"
[],"[(30, 35), (51, 58)]"
"[(76, 83)]","[(33, 41)]"
[],"[(0, 5), (34, 37)]"
[],"[(0, 4), (54, 59)]"
"[(28, 32), (62, 69)]","[(0, 5)]"
"[(14, 18)]","[(0, 12)]"
[],"[(0, 5)]"
"[(19, 19), (23, 25), (44, 46), (48, 48), (61, 65), (67, 73), (75, 78)]","[(7, 21)]"
"[(0, 5), (52, 62)]","[(19, 38)]"
"[(8, 16)]","[(8, 16)]"
"[(7, 12), (14, 18)]","[(0, 4)]"
[],"[(0, 7)]"
"[(27, 35)]","[(0, 7)]"
[],"[(0, 12)]"
"[(41, 51), (67, 70), (128, 134)]","[(109, 118)]"
