,Generated Text,Actual Text,Original Sentence,other
22,negative,negative,get sentiment: I couple of weeks ago we went to Supper in the east village and it was so bad that we got up and left and the only way to save the evening of horrible food was to go to Blue Ribbon Bakery and have at least one thing off the menu. aspect: food,
23,neutral,neutral,get sentiment: I don't remember the dessert item but when it was brought out flashing lights overhead threw colored beams on the walls and a young waiter came over to our table and did a little dance that was Bollywood MTV for the East Village set. aspect: dessert,
24,neutral,neutral,"get sentiment: I go there to eat dinner, brunch, or to just drink and hang out at the bar with the friendly staff. aspect: bar",
25,negative,negative,get sentiment: i got a steak special that was way overpriced ($12 more then the steak on the menu and no warning from the waitress) and it was cooked to the wrong temperature. aspect: steak special,
26,neutral,neutral,"get sentiment: I love the food here, and although it is pricey, the entree comes with rice, naan, dal, and salad, which makes it worthwhile. aspect: dal",
27,positive,positive,"get sentiment: I love the food here, and although it is pricey, the entree comes with rice, naan, dal, and salad, which makes it worthwhile. aspect: food",
28,neutral,neutral,"get sentiment: I love the food here, and although it is pricey, the entree comes with rice, naan, dal, and salad, which makes it worthwhile. aspect: naan",
29,neutral,positive,"get sentiment: I love the food here, and although it is pricey, the entree comes with rice, naan, dal, and salad, which makes it worthwhile. aspect: salad",
30,positive,negative,"get sentiment: I ordered the fried catfish, which had very little to no seasoning, the yams, and mac and cheese which were just okay. aspect: fried catfish",
31,positive,positive,"get sentiment: I ordered the fried catfish, which had very little to no seasoning, the yams, and mac and cheese which were just okay. aspect: mac and cheese",
32,positive,positive,"get sentiment: I ordered the fried catfish, which had very little to no seasoning, the yams, and mac and cheese which were just okay. aspect: yams",
33,neutral,neutral,get sentiment: i think friends coffee shop makes great food the service is great and they are very poilte i think that they should open more because there the best food store i ever ate from the food is addicting and you cant stop eating because it so delious. aspect: coffee,
34,positive,positive,get sentiment: i think friends coffee shop makes great food the service is great and they are very poilte i think that they should open more because there the best food store i ever ate from the food is addicting and you cant stop eating because it so delious. aspect: service,
35,negative,negative,get sentiment: I told the waiter that my drink tasted very bad and asked if he could swap it out for a Petron Margarita. aspect: drink,
36,negative,neutral,get sentiment: I told the waiter that my drink tasted very bad and asked if he could swap it out for a Petron Margarita. aspect: waiter,
37,negative,negative,"get sentiment: I was told(very snottily) no, but then not even 10 minutes later another group of people came in, asked the same thing and because the same woman waiter knew them she gave them regular menus! aspect: waiter",
38,neutral,neutral,"get sentiment: I'd recommend getting an appetizer b/c the dinner takes a bit to be cooked, but it was definitely worth the wait. aspect: dinner",
39,negative,negative,"get sentiment: If you don't care about the wait staff as long as they bring you your drinks and dinner, then go to Opa. aspect: wait staff",
40,positive,positive,"get sentiment: impressive balcony seating and while they forgot to give us the cold appetizers, the waiter and maitre'd more than made up for it by being most accomodating to us. aspect: maitre",
41,positive,positive,"get sentiment: impressive balcony seating and while they forgot to give us the cold appetizers, the waiter and maitre'd more than made up for it by being most accomodating to us. aspect: waiter",
42,positive,positive,"get sentiment: it's a very chill spot to hang with a group, I went there with a bunch of my friends to have drinks for my birthday and we all had a great time. aspect: spot",
43,negative,negative,"get sentiment: My ceasar salad amounted to some limp lettuce and mayo strewn around a large plate, and the only way I might have died for the mac and cheese is due to natural causes while waiting for it to arrive. aspect: mac and cheese",
44,negative,negative,"get sentiment: My only complaint was that when I tried to go back with some friends on a crowded night, the place was packed, yet they told us there was a 20 minute wait and that we should wait at the bar. aspect: place",
45,negative,negative,"get sentiment: My only quibbles are service - which was confused (we waited 10 minutes for menus), and the wine list, which is over-the-top expensive. aspect: service",
46,neutral,neutral,"get sentiment: My party felt like we got put in a dining room for tourist, which must have been the penalty box area for the disgruntled wait staff on duty. aspect: dining room",
47,positive,positive,get sentiment: My vegetable Napoleon was good; although i first got the veggie burger because the waitress mis-heard and stood my friend up for another 15 minutes of waiting to have it served. aspect: vegetable Napoleon,
48,negative,negative,"get sentiment: Not including the tip for our server, who we saw twice in an hour? aspect: server",
49,negative,positive,"get sentiment: Ok I got the edamame and something from the sushi chef for free, but the quality of food is more important to me than a free small dish (maybe that's why the restaurant gives it to attact new customers. aspect: dish",
50,neutral,neutral,get sentiment: On Friday night the busboy was sulky verging on rude; he brought the fries (ordered for the entrees) twice before the appetizers came and then again the minute we'd finished them and looked put out to be asked to take the empty plates away. aspect: appetizers,
51,negative,negative,get sentiment: One of our diners didn't like her fish and both the waitress and the manager insisted on replacing it. aspect: fish,
52,negative,negative,"get sentiment: One would think we'd get an apology or complimentary drinks - instead, we got a snobby waiter wouldn't even take our order for 15 minutes and gave us lip when we asked him to do so. aspect: waiter",
53,negative,negative,"get sentiment: Our waiter never once asked how everything was, as I suspect he knew the kitchen was producing seriously average food. aspect: waiter",
54,negative,negative,"get sentiment: Our waiter was a little stressed and brought a couple things out late and as a result, he apologized graciously and gave us wine on the house to compensate for the delay. aspect: waiter",
55,negative,negative,get sentiment: Our waitress was a bit cold but she was still attentive and food came quickly. aspect: waitress,
56,positive,positive,"get sentiment: Our waitress was very nice, not snotty - she even gave us a free apertif after the meal (and left the bottle on the table). aspect: waitress",
57,negative,negative,get sentiment: service was attentive at the beginning but the waiter lost us towards the end and we had to flag them down for the check. aspect: waiter,
58,positive,positive,"get sentiment: Snack on a bowl of fried chickpeas while you browse the menu, then move onto the tender lamb skewers, which arrive atop a slab of French bread, perfectly poised to catch the meat's sweet drippings. aspect: lamb skewers",
59,positive,positive,"get sentiment: So are cooked plates: Marinated Kobe beef practically melts on its skewers, soy-buttered scallops collapse with sweet brine and Chawanmushi custard, quivering in eel-soy broth with black truffles and foie gras, is over the top. aspect: Marinated Kobe beef",
60,negative,neutral,"get sentiment: So inexpensive that you'd wonder about the sanity of the owners, if they weren't such good cooks. aspect: owners",
61,negative,negative,get sentiment: The appetizer came out cold and the waiter came and took it to the kitchen. aspect: appetizer,
62,negative,negative,"get sentiment: The bill came out to like $100pp, and noone touched their food, and drinks were left untouched because after the first bite/sip you want to never touch it again. aspect: drinks",
63,negative,negative,"get sentiment: The bill came out to like $100pp, and noone touched their food, and drinks were left untouched because after the first bite/sip you want to never touch it again. aspect: food",
64,positive,positive,"get sentiment: The Black Duck is a great date place, whether going for dinner or just for a drink at their huge, antique-ish bar. aspect: Black Duck",
65,negative,negative,get sentiment: The busboys were more helpful than my server who then made me wait at the bar (very crowded with what appeared to be tasty margaritas) to pay the bartender - what's that about? aspect: server,
66,neutral,neutral,"get sentiment: The defining characteristic of this popular restaurant, aside from dirt-cheap hot dogs, is the beverage selection, which includes a light and refreshing papaya juice, an extremely sweet pineapple juice and a sweet and frothy pina colada drink. aspect: beverage selection",
67,positive,positive,"get sentiment: The Food Regulars swear by the tamales, which are spongy, well-seasoned and pulled from steaming crocks on the counter. aspect: tamales",
68,positive,positive,"get sentiment: The Food The classic Italian menu gets off to a good start with Queen's famous bread basket, which is loaded with a slew of crunchy, yeasty homemade varieties. aspect: bread",
69,positive,positive,"get sentiment: The food was good (and the $25 prix fixe made it all that much better), but the dinner started to feel like an assembly line when our appetizer arrived 5 minutes after ordering. aspect: food",
70,negative,negative,"get sentiment: The food was pretty good, but due to our large size (~16) the manager asked us to limit our appetizers to just 3 selections b/c he didn't want to overburden his cooks. aspect: manager",
71,neutral,neutral,"get sentiment: The hostess was condescending and the waiter was somewhat absent and unaccomodating (sure, we made a reservation to sit outside but when I asked to be moved indoors after I heard thunder he didn't even try to make it happen, giving me a blank stare and a shrug when I asked what we would do if it rained). aspect: reservation",
72,negative,negative,"get sentiment: The hostess was condescending and the waiter was somewhat absent and unaccomodating (sure, we made a reservation to sit outside but when I asked to be moved indoors after I heard thunder he didn't even try to make it happen, giving me a blank stare and a shrug when I asked what we would do if it rained). aspect: waiter",
73,negative,negative,"get sentiment: The hostess was totally not accomadating, and even though there were empty tables they still didn't seat us! aspect: hostess",
74,negative,negative,"get sentiment: The lunch got a little bizarre when we asked the waiter how the joint got it's name, and he made his hands into cups in reference to placing them on a woman's breasts and said, No, not this. aspect: waiter",
75,negative,neutral,get sentiment: The manager claimed that he could not compensate us for anything on the bill which just shows the lack of sophistication from the entire group. aspect: manager,
76,neutral,neutral,"get sentiment: The only dishes that were good were the chicken kebob (not hard to make) and the desserts, which were rice pudding. aspect: rice pudding",
77,positive,positive,get sentiment: The only redeeming factor of the night was the dessert which was very good but certainly not worth the cost of an overall horible experience. aspect: dessert,
78,neutral,negative,"get sentiment: The piano guy isn't there all the time, but when he is it's a great addition to the meal. aspect: piano",
79,positive,positive,"get sentiment: The place was packed and while our food took time to be prepared, our waiter earned points for his sparkling conversation to pass time and for also knowing practically every ingredient of every special under consideration. aspect: waiter",
80,neutral,neutral,"get sentiment: The quality of the sushi was bad, the way it was cut was bad, and the waiters kept trying to clear off my miso soup even when it wasn't finished. aspect: miso soup",
81,neutral,negative,"get sentiment: The quality of the sushi was bad, the way it was cut was bad, and the waiters kept trying to clear off my miso soup even when it wasn't finished. aspect: sushi",
82,positive,negative,get sentiment: The Scene Hunky waiters dub diners darling and it sounds like they mean it. aspect: waiters,
83,negative,negative,get sentiment: The server was so busy the night we visited that she forgot to put in our food order. aspect: server,
84,negative,negative,get sentiment: The servers were snobby and got mad at me when I asked if they serve by the slice. aspect: servers,
85,negative,negative,"get sentiment: The service was non-existant, the manager spent all of his time at the bar. aspect: manager",
86,positive,positive,get sentiment: The space is grand with a very high ceiling although it is one of those places that they keep so dark you are not really sure what you are eating anyway. aspect: space,
87,neutral,neutral,get sentiment: The space was so fantastic that once we heard they were serving dinner we decided to go one night and try it out. aspect: serving dinner,
88,neutral,neutral,"get sentiment: The trick to the tomato and onions is ask for it light on the onions, heavy on the tomatoes, order steak for one less person than you have in your party and if the steak is too rare, you can cook the individual pieces more by placing them on the platter around the edges. aspect: tomato and onions",
89,neutral,neutral,get sentiment: The waiter knew about every item on the menu and explained it very well. aspect: menu,
90,positive,positive,"get sentiment: The waiter made a huge production over what order he should deliver the food, as we all agreed the miso should be eaten with the sushi to aid digestion. aspect: waiter",
91,positive,neutral,get sentiment: The waiters have been there for YEARS and they know their steak is amazing. aspect: waiters,
92,negative,negative,"get sentiment: The waitress was no where to be found at all throughout the course of the meal, did not refill a single drink nor did she bother to inquire about my satisfaction with the food or even bring the check at the conclusion of the meal. aspect: waitress",
93,positive,positive,"get sentiment: Their bagels have the perfect softness to them, but on the outside there's a bit of crispiness to give it a bit of texture. aspect: bagels",
94,neutral,neutral,get sentiment: then the manager gave us lemon juice instead of ceasar dressing for a ceasar salad which ruined the salad. aspect: lemon juice,
95,negative,negative,"get sentiment: There are no price listed in the menu, and she will not provid them with a smile. aspect: price",
96,negative,neutral,"get sentiment: They crumbed the table once, although it was soiled the entire meal. aspect: table",
97,negative,negative,"get sentiment: They have possibly the worst service in New York I have waited until the waiter has finished his paper, begged for water and waited over an hour for my meal. aspect: waiter",
98,negative,neutral,get sentiment: This happened while many diners were enjoying their meal and it was rudes. aspect: diners,
99,negative,negative,"get sentiment: This much heralded restaurant brought my wife and I some excitement as we walked in the door, but we were met with an awkward maitre'd who barely spoke to us at all and just seemed standoff-ish. aspect: maitre",
100,negative,neutral,get sentiment: This was not the same hostess I usually see there who happens to be very sweet and provides excellent service. aspect: hostess,
101,negative,negative,"get sentiment: To both our surprise, this inquiry was interpreted as a personal offense by the waiter who told my wife to leave the store if she didnt want the pastries. aspect: waiter",
102,positive,positive,"get sentiment: very nice servers, but they seemed more interested in conversing with the regulars than bringing food and being attentive. aspect: servers",
103,neutral,neutral,"get sentiment: Watch out for the overworked, stressed out waitress who dumps tapa dishes on the table and leaves w/out announcing what it is. aspect: dishes",
104,negative,negative,"get sentiment: Watch out for the overworked, stressed out waitress who dumps tapa dishes on the table and leaves w/out announcing what it is. aspect: waitress",
105,negative,negative,"get sentiment: we all liked the brunch items we had but when we later asked if the chips were supposed to come with the meal, the waitress explained it away by saying sometimes they forget instead of apologizing and offering something extra. aspect: waitress",
106,negative,negative,"get sentiment: We finally flagged down another server who brought us more to drink, and then they took forever with the check. aspect: server",
107,negative,negative,"get sentiment: We initially ordered a bottle of wine and the waitress though we may not like it, so she offered us a taste. aspect: waitress",
108,negative,negative,"get sentiment: We politely asked our server for the regular menu, but were told that for large parties they could only offer us the banquet menu (would have gone elsewhere had we known). aspect: server",
109,neutral,neutral,"get sentiment: We were directed to a table by a member of staff, which we were then informed was reserved, and lost our seats at the bar, all this after spending upwards of $30 each on very expensive drinks over a two-hour period. aspect: table",
110,negative,negative,get sentiment: We were however seated right away and was immediately told by our waiter that they were out of sparking mineral water. aspect: waiter,
111,positive,neutral,get sentiment: Went here with my husband on a Saturday night for dinner since the place looked like it had great atmosphere. aspect: place,
112,negative,positive,"get sentiment: What do you like more, completely addictive patties of greasy beef, or glasses of cheap refreshing beer to wash it down? aspect: beef",
113,positive,positive,"get sentiment: What do you like more, completely addictive patties of greasy beef, or glasses of cheap refreshing beer to wash it down? aspect: patties",
114,negative,negative,"get sentiment: When I asked the manager to remove the coffee, she did so without question, but never asked why and never followed up on the issue (she was far too busy flirting with the male waiters). aspect: manager",
115,negative,neutral,"get sentiment: When I asked the waitress, she told me they couldn't afford the salmon, and had changed the dish (though not on the menu). aspect: waitress",
116,negative,negative,"get sentiment: When I called the waitress on it, she said that they simply couldn't serve tap water. aspect: waitress",
117,negative,positive,"get sentiment: when our server accidentally spilled some wine at our table, he cleaned it up offered us another glass right away. aspect: server",
118,neutral,neutral,"get sentiment: when our server accidentally spilled some wine at our table, he cleaned it up offered us another glass right away. aspect: table",
119,neutral,neutral,"get sentiment: when our server accidentally spilled some wine at our table, he cleaned it up offered us another glass right away. aspect: wine",
120,negative,neutral,"get sentiment: When the manager came to our table at the end of the meal and asked how our experience was, I complained to him about the cold. aspect: manager",
121,negative,negative,get sentiment: When we asked a waiter for an explanation of the long wait with some many empty tables he had no answer so we asked for the manager. aspect: waiter,
122,negative,negative,"get sentiment: While dining on a delicate lamb carpaccio, and grilled skate wing, the owner explained that due to low lunch-time patronage, they may be discontinuing lunch altogether. aspect: owner",
123,negative,positive,"get sentiment: While the staff was kind and attentive, our waiter never once broke a smile, even when I told him it was my friend's birthday, although he did bring a dessert with a candle at the end of the meal. aspect: waiter",
124,positive,negative,"get sentiment: The first time the sushi was outstanding, the second time it was a little bland. aspect: sushi",
125,positive,positive,"get sentiment: The first time the sushi was outstanding, the second time it was a little bland. aspect: sushi",
126,neutral,negative,get sentiment: I ordered the smoked salmon and roe appetizer and it was off flavor. aspect: smoked salmon and roe appetizer,
127,positive,positive,get sentiment: The cold appetizer dishes taste like the way I remember them to taste when I was growing up in Taiwan. aspect: cold appetizer dishes,
128,negative,negative,get sentiment: The rice was poor quality and was cooked so badly it was hard. aspect: rice,
129,positive,positive,get sentiment: Winnie and her staff are the best crew you can find serving you. aspect: Winnie,
130,positive,positive,get sentiment: I did not try the caviar but I tried their salmon and crab salad (they are all good) aspect: crab salad,
131,positive,positive,get sentiment: I did not try the caviar but I tried their salmon and crab salad (they are all good) aspect: salmon,
132,neutral,positive,"get sentiment: Its location is good and the fact that Hutner College is near and their prices are very reasonable, makes students go back to Suan again and again. aspect: Suan",
133,positive,positive,"get sentiment: I choose to go with one of the special, the braised lamb shank in red wine, which was excellent. aspect: braised lamb shank in red wine",
134,negative,negative,"get sentiment: The food is decent at best, and the ambience, well, it's a matter of opinion, some may consider it to be a sweet thing, I thought it was just annoying. aspect: ambience",
135,positive,negative,"get sentiment: Their bagels are fine, but they are a little overcooked, and not really a 'special' bagel experience. aspect: bagels",
136,positive,positive,"get sentiment: Small servings for main entree, i had salmon (wasnt impressed) girlfriend had chicken, it was good. aspect: chicken",
137,positive,positive,"get sentiment: The restaurant has a Family feel, not least with regard to the portions which are enormous; the veal alone could have single-handedly solved third world famine. aspect: portions",
138,positive,positive,"get sentiment: Still, any quibbles about the bill were off-set by the pour-your-own measures of liquers which were courtesey of the house... aspect: measures of liquers",
139,neutral,positive,"get sentiment: When you're sitting in their main dining room (which has a spectacular, hand-painted high ceiling) you'd never know there was a world outside. aspect: main dining room",
140,positive,positive,get sentiment: I recently tried Suan and I thought that it was great. aspect: Suan,
141,positive,positive,"get sentiment: It was the first place we ate on our first trip to New York, and it will be the last place we stop as we head out of town on our next trip to New York. aspect: place",
142,positive,positive,get sentiment: I have been to Rao's probably 15 times the past 3 years and it keeps getting better. aspect: Rao's,
143,neutral,positive,"get sentiment: I got the $10 10-piece dim sum combo, every bite of which was great. aspect: $10 10-piece dim sum combo",
144,positive,positive,get sentiment: You must have the crabmeat lasagna which is out of this world and the chocolate bread pudding for dessert. aspect: crabmeat lasagna,
145,positive,positive,get sentiment: This dish is my favorite and I always get it when I go there and never get tired of it. aspect: dish,
146,positive,positive,"get sentiment: whoever the jazz duo was, they were on POINT. aspect: jazz duo",
147,negative,negative,"get sentiment: If you don't mind pre-sliced low quality fish, unfriendly staff and a sushi chef that looks like he is miserable then this is your place. aspect: sushi chef",
148,negative,negative,get sentiment: Wasn't going to share but I feel obligated...while sitting at the sushi bar dining we watched the chef accidentally drop a piece of Unagi on the floor and upon retrieving it from the floor proceed to use the piece in the delivery order he was preparing. aspect: chef,
149,positive,positive,"get sentiment: This place, which is only a few months old, is perhaps Queens' biggest secret! aspect: place",
150,negative,negative,"get sentiment: With so many good restaurants on the UWS, I don't need overpriced food, absurdly arrogant wait-staff who don't recognize they work at a glorified diner, clumsy service, and management that doesn't care. aspect: wait-staff",
151,positive,positive,get sentiment: Although they do the typical what kind of water would you like questions the service was good and overall very relaxing to place to eat. aspect: place,
152,positive,negative,get sentiment: Never have I had such dramatic delivery guys (a lot of huffing and panting and muttering under breath b/c I live in a walkup) who always seem disappointed with their tips. aspect: delivery guys,
153,positive,positive,get sentiment: We were 4 and got the family size penne a la vodka which was tremendously gigantic portion...a bucket of food literally. aspect: penne a la vodka,
154,positive,positive,"get sentiment: La Rosa waltzes in, and I think they are doing it the best. aspect: La Rosa",
155,positive,positive,"get sentiment: I found it on a cold night, the perfect spot to warm up. aspect: spot",
156,positive,positive,"get sentiment: Over the years the host, Vittorio, and his crew, have always treated me as family--although with all the business this not-so-little gem does, it amazing he's even able to remember a consistent but not-so-frequent visitor. aspect: Vittorio",
157,positive,positive,"get sentiment: I've also been amazed at all the new additions in the past few years: A new Jazz Bar, the most fantastic Dining Garden, the Best Thin Crust Pizzas, and now a Lasagna Menu which is to die for (these are not your average lasagnas)! aspect: Lasagna Menu",
158,negative,negative,"get sentiment: We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude. aspect: staff",
159,negative,negative,get sentiment: Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away. aspect: cart attendant,
160,neutral,positive,"get sentiment: Went on a 3 day oyster binge, with Fish bringing up the closing, and I am so glad this was the place it O trip ended, because it was so great! aspect: Fish",
161,positive,positive,get sentiment: I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt). aspect: Edamame pureed,
162,negative,negative,"get sentiment: The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern. aspect: place",
163,negative,positive,"get sentiment: Don't judge this place prima facie, you have to try it to believe it, a home away from home for the literate heart. aspect: place",
164,positive,positive,"get sentiment: I tend to judge a sushi restaurant by its sea urchin, which was heavenly at sushi rose. aspect: sea urchin",
165,neutral,positive,get sentiment: We took advanatage of the half price sushi deal on saturday so it was well worth it. aspect: half price sushi deal,
166,positive,positive,"get sentiment: $6 and there is much tasty food, all of it fresh and continually refilled. aspect: food",
167,positive,negative,"get sentiment: Also, specify if you like your food spicy- its rather bland if you don't. aspect: food",
168,positive,positive,"get sentiment: This tiny restaurant is as cozy as it gets, with that certain Parisian flair. aspect: restaurant",
169,positive,positive,get sentiment: This place is the most Japanese it can ever get. aspect: place,
170,neutral,negative,get sentiment: I went there for lunch and it was not as good as I expected from the reviews I read. aspect: lunch,
171,positive,positive,"get sentiment: Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too . aspect: Planet Thailand",
172,positive,positive,"get sentiment: Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too . aspect: sushi",
173,neutral,negative,"get sentiment: but when we looked at the menu, there weren't a lot of choices, most of them were dumplings in the appetizer section. aspect: menu",
174,positive,positive,"get sentiment: Try the crunchy tuna, it is to die for. aspect: crunchy tuna",
175,positive,positive,"get sentiment: The Steak Tartare is a great bet, they fix it for you at the table. aspect: Steak Tartare",
176,positive,positive,"get sentiment: It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area. aspect: French food",
177,negative,negative,get sentiment: Tiny dessert was $8.00...just plain overpriced for what it is. aspect: dessert,
178,positive,positive,get sentiment: Try their chef's specials-- they are to die for. aspect: chef's specials,
179,positive,positive,get sentiment: Wait staff is blantently unappreciative of your business but its the best pie on the UWS! aspect: pie,
180,neutral,positive,get sentiment: When I lived upstate for a while I would buy freeze the bagels and they would still be better than any else. aspect: bagels,
181,positive,positive,get sentiment: Worth visiting the 1st Ave spot because it is the original store. aspect: 1st Ave spot,
182,positive,positive,"get sentiment: He served me an Uni Hand roll, which I never had before, and let me tell you...IT WAS HEAVEN! aspect: Uni Hand roll",
183,neutral,positive,"get sentiment: I've been to at Cafe Spice probably 5-8 times, it is probably still the best Indian restaurant around Union Square. aspect: Cafe Spice",
184,negative,neutral,"get sentiment: To sum it up: Service varies from good to mediorce, depending on which waiter you get; generally it is just average Ok. aspect: Service",
185,positive,positive,"get sentiment: The decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall, which are great for a date. aspect: semi-private boths",
186,positive,positive,"get sentiment: My husband and I thougt it would be great to go to the Jekyll and Hyde Pub for our anniversary, and to our surprise it was fantastic. aspect: Jekyll and Hyde Pub",
187,positive,positive,"get sentiment: The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it must be the pumkin tortelini. aspect: food",
188,positive,positive,get sentiment: I have to highly recommend the lobster roll - not to much mayo; you can tell it was a fresh lobster. aspect: lobster roll,
189,positive,positive,get sentiment: We had Pam's special fried fish and it was amazing. aspect: Pam's special fried fish,
190,positive,positive,"get sentiment: They have it all -- great price, food, and service. aspect: food",
191,positive,positive,"get sentiment: They have it all -- great price, food, and service. aspect: service",
192,negative,positive,get sentiment: The atmosphere is noisy and the waiters are literally walking around doing things as fast as they can. aspect: waiters,
193,neutral,positive,"get sentiment: And it all comes at a very reasonable price (congee, noodles, and rice dishes are no more than $3-6 each). aspect: congee",
194,neutral,positive,"get sentiment: And it all comes at a very reasonable price (congee, noodles, and rice dishes are no more than $3-6 each). aspect: noodles",
195,neutral,positive,"get sentiment: And it all comes at a very reasonable price (congee, noodles, and rice dishes are no more than $3-6 each). aspect: rice dishes",
196,neutral,positive,get sentiment: We both opted for a pasta dish and they were served timely and fresh. aspect: pasta dish,
197,positive,positive,get sentiment: We even had a visit from the Manager who wanted to make sure we were enjoying ourselves. aspect: Manager,
198,positive,positive,get sentiment: My friend got the mushroom pizza which tasted better. aspect: mushroom pizza,
199,negative,neutral,get sentiment: Kind of a small place but I guess if they are not too busy might be able to fit a group or kids. aspect: place,
200,positive,positive,get sentiment: I started out with a Bombay beer which was big enough for two. aspect: Bombay beer,
201,negative,negative,get sentiment: The hanger steak was like rubber and the tuna was flavorless not to mention it tasted like it had just been thawed. aspect: tuna,
202,positive,positive,"get sentiment: To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora. aspect: food",
203,positive,positive,"get sentiment: Cute place, nice wait staff but would never go there again. aspect: place",
204,positive,negative,"get sentiment: Cute place, nice wait staff but would never go there again. aspect: place",
205,positive,positive,get sentiment: Myagi is one of my favorite restaurants in the City; the place the negative reviews describe sound like they were somewhere else. aspect: Myagi,
206,positive,positive,get sentiment: No gimmicks here -- the food speaks for itself in its freshness and preparation. aspect: food,
207,positive,positive,"get sentiment: The service was impeccable and unobtrusive -- the staff knows what they are there to do -- to know their menu, present your meal, and attend to your needs. aspect: staff",
208,neutral,positive,get sentiment: I had Lobster Bisque it has 2 oz. of Maine Lobster in it. aspect: Lobster Bisque,
209,positive,positive,get sentiment: My boyfriend had the New England Chowder it was good but I think the award should go to the Lobster Bisque. aspect: New England Chowder,
210,positive,positive,get sentiment: My boyfriend had Prime Rib it was good . aspect: Prime Rib,
211,negative,positive,get sentiment: We didn't want a bottle of bubbly on a weekday so we each got little bottles of Korbett it was just enough. aspect: bottles of Korbett,
212,positive,negative,"get sentiment: With the exception of our lemon salad that had so much pepper on it that our eyes started watering, the food here was decent, not great. aspect: lemon salad",
213,negative,negative,"get sentiment: We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat. aspect: grilled branzino",
214,negative,positive,get sentiment: The food was pretty tradional but it was hot and good with large portions. aspect: food,
215,negative,positive,"get sentiment: The atmosphere is nothing special, but it feels like a Sushi establishment in Tokyo. aspect: atmosphere",
