Predicted idx,Gold idx
"[(45, 49)]","[(0, 6), (57, 60)]"
"[(0, 5)]","[(0, 5), (28, 31), (33, 37), (50, 53), (55, 60)]"
"[(0, 5)]","[(0, 5), (26, 29), (31, 35)]"
"[(15, 24)]","[(6, 9), (15, 24)]"
"[(30, 33)]","[(24, 28), (38, 44)]"
"[(0, 3)]","[(0, 3), (34, 37), (39, 43)]"
"[(0, 4), (17, 23)]","[(0, 4), (17, 23)]"
"[(29, 38), (113, 117)]","[(11, 15), (29, 38), (62, 67), (130, 135), (142, 150)]"
"[(8, 21), (35, 41)]","[(8, 21), (27, 33), (35, 41)]"
"[(21, 24)]","[(11, 15), (21, 24), (36, 39)]"
"[(6, 10)]","[(6, 10), (34, 37)]"
"[(6, 10), (21, 27)]","[(21, 27), (60, 68)]"
"[(12, 17)]","[(8, 10), (12, 17)]"
"[(11, 19)]","[(11, 16), (72, 76), (105, 108)]"
"[(0, 11)]","[(0, 11), (25, 31), (57, 61), (77, 86)]"
"[(53, 60)]","[(10, 13), (22, 26), (53, 60)]"
"[(0, 7)]","[(0, 7), (58, 68)]"
"[(0, 6), (147, 151), (158, 161)]","[(139, 145), (158, 161)]"
"[(21, 40)]","[(35, 40), (73, 76)]"
"[(0, 7)]","[(0, 7), (44, 55), (85, 88)]"
"[(5, 10)]","[(5, 10), (51, 54)]"
"[(0, 8)]","[(5, 8), (27, 35), (37, 65)]"
"[(75, 78)]","[(56, 60), (75, 78)]"
"[(8, 12), (30, 35)]","[(8, 12), (30, 35), (52, 60)]"
"[(26, 42)]","[(26, 30), (39, 42), (44, 48)]"
"[(0, 6)]","[(0, 6), (46, 51)]"
"[(54, 60)]","[(54, 60), (68, 73)]"
"[(5, 10)]","[(5, 10), (12, 16)]"
"[(79, 82)]","[(79, 82), (99, 104), (122, 125)]"
"[(0, 7)]","[(0, 7), (34, 38), (52, 55)]"
"[(0, 5)]","[(0, 5), (41, 45)]"
"[(17, 23)]","[(0, 10), (17, 23), (33, 36)]"
"[(77, 82)]","[(9, 15), (77, 82), (102, 106)]"
"[(0, 8), (10, 20)]","[(10, 20), (42, 45)]"
"[(0, 6)]","[(0, 6), (43, 46)]"
"[(8, 13)]","[(8, 13), (83, 87), (93, 95), (121, 125)]"
"[(0, 7)]","[(0, 7), (49, 52)]"
"[(65, 71)]","[(9, 14), (65, 71)]"
"[(23, 30)]","[(23, 30), (47, 50), (67, 75)]"
"[(0, 5), (42, 48)]","[(0, 5), (26, 30), (42, 48), (70, 73)]"
"[(0, 8)]","[(0, 4), (30, 33)]"
"[(13, 17)]","[(13, 17), (60, 63)]"
"[(6, 9)]","[(6, 9), (38, 42), (59, 62)]"
"[(0, 5)]","[(0, 5), (35, 39)]"
"[(24, 31)]","[(4, 7), (24, 31)]"
"[(16, 29), (37, 46)]","[(0, 5), (48, 52)]"
"[(81, 86)]","[(81, 86), (106, 109)]"
"[(0, 6), (29, 34), (65, 69)]","[(29, 34), (65, 69), (75, 83)]"
"[(55, 61)]","[(20, 28), (35, 39), (55, 61)]"
"[(0, 3), (36, 42)]","[(36, 42), (57, 65)]"
"[(17, 20), (22, 30)]","[(17, 20), (22, 30)]"
"[(5, 8), (26, 31)]","[(5, 8), (10, 11), (26, 31), (43, 46), (52, 56)]"
"[(0, 5)]","[(0, 5), (14, 17), (67, 73), (75, 77)]"
"[(11, 17)]","[(4, 9), (11, 17)]"
"[(29, 35)]","[(11, 15), (29, 35)]"
"[(10, 15), (64, 79)]","[(10, 15), (64, 79)]"
"[(18, 21)]","[(18, 21), (48, 53)]"
"[(0, 4), (52, 56)]","[(0, 4), (20, 24), (26, 28)]"
"[(27, 31), (38, 41)]","[(27, 31), (38, 41)]"
"[(0, 8), (20, 25)]","[(0, 8), (20, 25)]"
"[(10, 17)]","[(10, 17), (32, 35), (106, 116)]"
"[(10, 15), (82, 85)]","[(10, 15), (34, 37), (82, 85)]"
"[(99, 103)]","[(31, 36), (99, 103)]"
"[(37, 48)]","[(13, 18), (37, 48), (75, 79)]"
"[(0, 4)]","[(0, 4), (21, 32)]"
"[(28, 35)]","[(28, 35), (62, 66)]"
"[(60, 66)]","[(0, 5), (73, 85), (119, 127)]"
"[(0, 5), (17, 21)]","[(0, 5), (17, 21)]"
"[(4, 11)]","[(4, 11), (34, 37), (39, 43)]"
"[(13, 18)]","[(13, 18), (65, 76)]"
"[(0, 7)]","[(0, 7), (29, 33), (60, 65)]"
"[(0, 5), (41, 47)]","[(0, 5), (41, 47), (75, 78)]"
"[(12, 15), (48, 61)]","[(12, 15), (99, 110)]"
"[(4, 10)]","[(4, 10), (19, 24), (92, 97)]"
"[(0, 3), (5, 10)]","[(5, 10), (30, 33)]"
"[(34, 41)]","[(18, 32), (34, 41)]"
"[(0, 4)]","[(0, 4), (55, 61)]"
"[(0, 5)]","[(0, 5), (27, 30)]"
"[(7, 12), (23, 29)]","[(7, 12), (23, 29)]"
[],"[(0, 6), (21, 24)]"
"[(29, 31), (51, 54)]","[(29, 31), (51, 54)]"
[],"[(35, 38), (52, 56)]"
"[(13, 18)]","[(13, 18), (67, 75)]"
"[(22, 29)]","[(22, 29), (41, 44), (46, 50)]"
"[(0, 7)]","[(15, 20), (22, 26), (67, 71), (67, 76)]"
"[(16, 22)]","[(16, 22)]"
"[(34, 41)]","[(43, 47)]"
"[(7, 11)]","[(7, 11), (31, 40)]"
"[(5, 12)]","[(29, 32)]"
"[(0, 5)]","[(9, 16)]"
"[(0, 4)]","[(32, 35), (60, 62)]"
"[(20, 30)]","[(20, 30)]"
"[(24, 31)]","[(24, 31)]"
"[(0, 3), (29, 39)]","[(0, 3), (29, 39)]"
"[(23, 31), (33, 46)]","[(23, 31), (33, 46)]"
"[(0, 12)]","[(0, 12)]"
"[(11, 16)]","[(0, 9)]"
"[(4, 11)]","[(4, 11)]"
"[(6, 18)]","[(20, 26)]"
"[(29, 31)]","[(5, 12)]"
"[(0, 15)]","[(0, 7)]"
"[(23, 26)]","[(23, 26)]"
[],"[(17, 23)]"
"[(35, 39)]","[(35, 47)]"
"[(26, 37)]","[(26, 37)]"
"[(0, 4)]","[(0, 4), (27, 31)]"
"[(10, 12)]","[(19, 30), (70, 81), (94, 101)]"
"[(12, 25)]","[(12, 25)]"
"[(15, 19)]","[(0, 6), (15, 19), (26, 29)]"
"[(30, 40)]","[(30, 40)]"
[],"[(5, 8)]"
[],"[(22, 25), (27, 30)]"
"[(18, 20)]","[(39, 46)]"
"[(28, 32)]","[(11, 26), (28, 32), (34, 38), (40, 49)]"
"[(13, 21)]","[(10, 21)]"
"[(27, 39)]","[(27, 39)]"
"[(23, 25), (27, 34)]","[(23, 25), (27, 34)]"
"[(0, 5)]","[(0, 5)]"
"[(22, 26)]","[(12, 14), (22, 26)]"
"[(16, 23)]","[(16, 23)]"
"[(5, 9)]","[(19, 29)]"
"[(18, 19)]","[(18, 19), (36, 42)]"
"[(18, 20), (60, 64), (72, 82)]","[(26, 27), (52, 64), (75, 82)]"
"[(9, 12), (34, 41)]","[(9, 12), (25, 27), (34, 41)]"
"[(0, 3)]","[(21, 24), (36, 40), (42, 47)]"
"[(15, 18)]","[(35, 41)]"
"[(21, 39), (58, 65)]","[(21, 39), (58, 65)]"
"[(5, 10), (12, 18)]","[(5, 10), (12, 18)]"
"[(21, 24)]","[(6, 9)]"
[],"[(10, 12), (14, 17)]"
"[(14, 21)]","[(14, 21), (83, 87)]"
"[(6, 23)]","[(6, 11)]"
"[(0, 8)]","[(0, 8)]"
"[(11, 16)]","[(11, 16), (28, 30), (39, 43), (106, 109)]"
"[(19, 32), (92, 125)]","[(53, 72), (92, 125), (132, 156), (168, 196), (221, 227)]"
"[(4, 8)]","[(4, 8)]"
"[(11, 13)]","[(11, 17)]"
"[(23, 33)]","[(23, 33)]"
"[(45, 59), (61, 74)]","[(36, 43), (45, 59), (61, 74), (76, 81)]"
"[(5, 12)]","[(19, 23), (25, 31), (52, 59), (71, 77), (97, 118)]"
"[(0, 13)]","[(0, 13), (38, 51), (43, 46)]"
"[(10, 12), (19, 32)]","[(25, 32)]"
"[(81, 87)]","[(18, 35)]"
"[(8, 20)]","[(0, 20)]"
"[(0, 6)]","[(0, 6)]"
"[(0, 11)]","[(17, 26)]"
"[(0, 11)]","[(2, 11)]"
"[(19, 22)]","[(19, 22)]"
[],"[(10, 13)]"
"[(15, 23)]","[(15, 23)]"
"[(0, 4)]","[(31, 39)]"
"[(4, 8)]","[(4, 8)]"
"[(25, 26)]","[(25, 26)]"
"[(0, 7)]","[(0, 7), (21, 22)]"
"[(21, 42), (50, 60)]","[(21, 42), (44, 60)]"
"[(24, 38)]","[(71, 93)]"
"[(47, 50)]","[(47, 50)]"
"[(18, 23)]","[(12, 16)]"
"[(38, 40)]","[(4, 17), (38, 40), (51, 54), (78, 86)]"
"[(7, 14)]","[(16, 20)]"
"[(0, 7)]","[(9, 20), (33, 42), (51, 69)]"
"[(58, 66)]","[(58, 66)]"
"[(6, 13)]","[(25, 38)]"
"[(0, 4), (6, 15), (17, 22)]","[(0, 4), (6, 15), (17, 22)]"
"[(22, 33)]","[(22, 33), (56, 59), (56, 59), (93, 98), (123, 130)]"
"[(15, 25)]","[(15, 25), (55, 65)]"
"[(21, 24)]","[(21, 24), (40, 53)]"
"[(5, 11)]","[(45, 56)]"
"[(69, 76)]","[(10, 15), (47, 52), (78, 84)]"
"[(0, 7)]","[(0, 7)]"
"[(24, 31)]","[(24, 31), (33, 38)]"
